# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.417455631727e+04       1.417455631727e-10       1.417455631727e+18       2.676317464532e-09       2.751560535470e+44       2.488998175392e+33       1.335180067264e+34       3.463959279501e-08       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       5.409707740033e-06       2.000000000000e+00 
       9.991943997396e+13       7.571713149920e-26       4.638422979042e-09       2.153781920381e+22       1.417455631727e+04       1.418598455012e-10       1.416313729101e+18       2.678475245463e-09       2.742704612622e+44       2.482987607374e+33       1.331955801899e+34       3.463959279501e-08       1.896071947780e+44       4.638776560560e+44       4.638776560560e+44       1.546258853467e+44      -1.333195767989e+53       5.418427376705e-06       1.996781488456e+00 
       9.983894484710e+13       7.583927459902e-26       4.643879947253e-09       2.150313143616e+22       1.417455631727e+04       1.419742199698e-10       1.415172746392e+18       2.680634765705e-09       2.733877192643e+44       2.476991554002e+33       1.328739322666e+34       3.463959279501e-08       1.889969422807e+44       4.623846615608e+44       4.623846615608e+44       1.541282205150e+44      -1.327834299063e+53       5.427147013377e-06       1.993573318532e+00 
       9.975851456713e+13       7.596161474099e-26       4.647517926060e-09       2.146849953495e+22       1.417455631727e+04       1.420886866528e-10       1.414032682859e+18       2.682796027092e-09       2.725078183797e+44       2.471009980226e+33       1.325530610760e+34       3.463959279501e-08       1.883886538866e+44       4.608964722820e+44       4.608964722820e+44       1.536321574221e+44      -1.322494391373e+53       5.435866650049e-06       1.990375440994e+00 
       9.967814908182e+13       7.608415223194e-26       4.651155904867e-09       2.143392341020e+22       1.417455631727e+04       1.422032456245e-10       1.412893537762e+18       2.684959030978e-09       2.716307494641e+44       2.465042851079e+33       1.322329647427e+34       3.463959279501e-08       1.877823232743e+44       4.594130727541e+44       4.594130727541e+44       1.531376909128e+44      -1.317175958211e+53       5.444586286720e-06       1.987187806426e+00 
       9.959784833896e+13       7.620688737232e-26       4.654793883674e-09       2.139940297207e+22       1.417455631727e+04       1.423178969593e-10       1.411755310360e+18       2.687123778688e-09       2.707565034029e+44       2.459090131680e+33       1.319136413954e+34       3.463959279501e-08       1.871779441427e+44       4.579344475612e+44       4.579344475612e+44       1.526448158485e+44      -1.311878913217e+53       5.453305923390e-06       1.984010365752e+00 
       9.951761228640e+13       7.632982049883e-26       4.658431862481e-09       2.136493813090e+22       1.417455631727e+04       1.424326407318e-10       1.410617999914e+18       2.689290271708e-09       2.698850711107e+44       2.453151787230e+33       1.315950891675e+34       3.463959279501e-08       1.865755102108e+44       4.564605813371e+44       4.564605813371e+44       1.521535271072e+44      -1.306603170376e+53       5.462025560061e-06       1.980843070093e+00 
       9.943744087203e+13       7.645295192433e-26       4.662069841288e-09       2.133052879712e+22       1.417455631727e+04       1.425474770164e-10       1.409481605686e+18       2.691458511416e-09       2.690164435313e+44       2.447227783018e+33       1.312773061968e+34       3.463959279501e-08       1.859750152181e+44       4.549914587650e+44       4.549914587650e+44       1.516638195831e+44      -1.301348644024e+53       5.470745196731e-06       1.977685870960e+00 
       9.935733404377e+13       7.657628197276e-26       4.665707820095e-09       2.129617488136e+22       1.417455631727e+04       1.426624058877e-10       1.408346126938e+18       2.693628499238e-09       2.681506116377e+44       2.441318084413e+33       1.309602906256e+34       3.463959279501e-08       1.853764529240e+44       4.535270645773e+44       4.535270645773e+44       1.511756881872e+44      -1.296115248836e+53       5.479464833401e-06       1.974538720139e+00 
       9.927729174959e+13       7.669981096848e-26       4.669345798902e-09       2.126187629434e+22       1.417455631727e+04       1.427774274204e-10       1.407211562931e+18       2.695800236600e-09       2.672875664320e+44       2.435422656869e+33       1.306440406009e+34       3.463959279501e-08       1.847798171082e+44       4.520673835558e+44       4.520673835558e+44       1.506891278468e+44      -1.290902899834e+53       5.488184470071e-06       1.971401569725e+00 
       9.919731393751e+13       7.682353923476e-26       4.672983777709e-09       2.122763294696e+22       1.417455631727e+04       1.428925416892e-10       1.406077912930e+18       2.697973724926e-09       2.664272989453e+44       2.429541465924e+33       1.303285542740e+34       3.463959279501e-08       1.841851015702e+44       4.506124005310e+44       4.506124005310e+44       1.502041335052e+44      -1.285711512380e+53       5.496904106741e-06       1.968274372116e+00 
       9.911740055557e+13       7.694746709356e-26       4.676621756516e-09       2.119344475026e+22       1.417455631727e+04       1.430077487689e-10       1.404945176197e+18       2.700148965626e-09       2.655698002373e+44       2.423674477198e+33       1.300138298005e+34       3.463959279501e-08       1.835923001297e+44       4.491621003825e+44       4.491621003825e+44       1.497207001223e+44      -1.280541002176e+53       5.505623743411e-06       1.965157080025e+00 
       9.903755155187e+13       7.707159486782e-26       4.680259735323e-09       2.115931161542e+22       1.417455631727e+04       1.431230487342e-10       1.403813351997e+18       2.702325960121e-09       2.647150613969e+44       2.417821656396e+33       1.296998653409e+34       3.463959279501e-08       1.830014066260e+44       4.477164680383e+44       4.477164680383e+44       1.492388226743e+44      -1.275391285266e+53       5.514343380081e-06       1.962049646457e+00 
       9.895776687455e+13       7.719592287926e-26       4.683897714131e-09       2.112523345374e+22       1.417455631727e+04       1.432384416601e-10       1.402682439595e+18       2.704504709818e-09       2.638630735412e+44       2.411982969303e+33       1.293866590596e+34       3.463959279501e-08       1.824124149185e+44       4.462754884750e+44       4.462754884750e+44       1.487584961532e+44      -1.270262278027e+53       5.523063016751e-06       1.958952024723e+00 
       9.887804647179e+13       7.732045145336e-26       4.687535692938e-09       2.109121017670e+22       1.417455631727e+04       1.433539276215e-10       1.401552438257e+18       2.706685216146e-09       2.630138278163e+44       2.406158381789e+33       1.290742091259e+34       3.463959279501e-08       1.818253188862e+44       4.448391467178e+44       4.448391467178e+44       1.482797155675e+44      -1.265153897177e+53       5.531782653421e-06       1.955864168414e+00 
