# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.371782662714e-10       4.163503826322e-15       3.523113146364e-13       0.000000000000e+00 
    3       1.298769039361e-10       5.342719998122e-15       3.954866223888e-13       0.000000000000e+00 
    4       1.229632950864e-10       4.628381942996e-15       3.697010605731e-13       0.000000000000e+00 
    5       1.177791925028e-10       3.092516442008e-15       3.148325281464e-13       0.000000000000e+00 
    6       1.142180660157e-10       1.731066449733e-15       2.535935045556e-13       0.000000000000e+00 
    7       1.119405186124e-10       9.349201701616e-16       1.991408028252e-13       0.000000000000e+00 
    8       1.106106740651e-10       6.019844828265e-16       1.572430781937e-13       0.000000000000e+00 
    9       1.099896881439e-10       4.826985557377e-16       1.291578607059e-13       0.000000000000e+00 
   10       1.098853915343e-10       4.113345659331e-16       1.135603847060e-13       0.000000000000e+00 
   11       1.101905669892e-10       3.453089612982e-16       1.078338283304e-13       0.000000000000e+00 
   12       1.108342178924e-10       3.000238849442e-16       1.089664201644e-13       0.000000000000e+00 
   13       1.117119235896e-10       2.868813053405e-16       1.142183166634e-13       0.000000000000e+00 
   14       1.127449126901e-10       2.981969702991e-16       1.215778846538e-13       0.000000000000e+00 
   15       1.139544941709e-10       3.221062374735e-16       1.297791711878e-13       0.000000000000e+00 
   16       1.153402681388e-10       3.559181008652e-16       1.381130088850e-13       0.000000000000e+00 
   17       1.167940486168e-10       4.049812006856e-16       1.464415109607e-13       0.000000000000e+00 
   18       1.183439783781e-10       4.747629027784e-16       1.549453356231e-13       0.000000000000e+00 
   19       1.200046741149e-10       5.657554154223e-16       1.638215745923e-13       0.000000000000e+00 
   20       1.217170079475e-10       6.761317645783e-16       1.732288356581e-13       0.000000000000e+00 
   21       1.234944957832e-10       8.051542252118e-16       1.831546554305e-13       0.000000000000e+00 
   22       1.253413524304e-10       9.521600028293e-16       1.934493050061e-13       0.000000000000e+00 
   23       1.272489032102e-10       1.117405216441e-15       2.037732932507e-13       0.000000000000e+00 
   24       1.291855270714e-10       1.301253613856e-15       2.136807423052e-13       0.000000000000e+00 
   25       1.311602188805e-10       1.503830013005e-15       2.228650953364e-13       0.000000000000e+00 
   26       1.331806516878e-10       1.725339935827e-15       2.310734176544e-13       0.000000000000e+00 
   27       1.352550730783e-10       1.967372090909e-15       2.382310058848e-13       0.000000000000e+00 
   28       1.373741394042e-10       2.232181851939e-15       2.443403677636e-13       0.000000000000e+00 
   29       1.395146529141e-10       2.522066772207e-15       2.494371646431e-13       0.000000000000e+00 
   30       1.416840128536e-10       2.838192942767e-15       2.535821102207e-13       0.000000000000e+00 
   31       1.438898258277e-10       3.181297257363e-15       2.568708979099e-13       0.000000000000e+00 
