# Matter power spectrum P(k) at redshift z=0
# for k=1.04769e-05 to 1.50104 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047691926673e-05       4.761706032225e+01 
       2.341195969144e-05       1.035314632206e+02 
       3.639282524205e-05       1.585328125242e+02 
       4.945473654097e-05       2.131887495293e+02 
       6.263350121712e-05       2.678267199427e+02 
       7.596583586913e-05       3.226948670954e+02 
       8.948969840081e-05       3.780072157844e+02 
       1.032446351835e-04       4.339622341556e+02 
       1.172721475338e-04       4.907524073301e+02 
       1.316160820285e-04       5.485700740973e+02 
       1.463230491844e-04       6.076115283281e+02 
       1.614428749642e-04       6.680802446357e+02 
       1.770290893801e-04       7.301896550169e+02 
       1.931394560741e-04       7.941657116576e+02 
       2.098365460572e-04       8.602493609452e+02 
       2.271883576509e-04       9.286989979772e+02 
       2.452689829160e-04       9.997929355809e+02 
       2.641593182404e-04       1.073831901586e+03 
       2.839478130117e-04       1.151141544473e+03 
       3.047312450610e-04       1.232074894332e+03 
       3.266155044503e-04       1.317014707515e+03 
       3.497163577526e-04       1.406375571572e+03 
       3.741601528615e-04       1.500605601381e+03 
       4.000844093178e-04       1.600187504037e+03 
       4.276382212021e-04       1.705638722480e+03 
       4.569823794406e-04       1.817510292889e+03 
       4.882890994007e-04       1.936383994901e+03 
       5.217412207200e-04       2.062867313846e+03 
       5.575307338581e-04       2.197585708560e+03 
       5.958564881904e-04       2.341171733157e+03 
       6.369209573755e-04       2.494250660539e+03 
       6.809259874632e-04       2.657422510946e+03 
       7.280675380726e-04       2.831240701531e+03 
       7.785295479921e-04       3.016188083350e+03 
       8.324772054196e-04       3.212651628168e+03 
       8.900500592742e-04       3.420897583658e+03 
       9.513555391333e-04       3.641049407176e+03 
       1.016463518805e-03       3.873070849158e+03 
       1.085402528892e-03       4.116756396024e+03 
       1.158158082529e-03       4.371730686079e+03 
       1.234673340766e-03       4.637457304425e+03 
       1.314852054488e-03       4.913256553482e+03 
       1.398563440701e-03       5.198303519806e+03 
       1.485648442292e-03       5.491720677769e+03 
       1.575926719562e-03       5.792573894018e+03 
       1.669203735000e-03       6.099887142654e+03 
       1.765277396890e-03       6.412682252336e+03 
       1.863943883486e-03       6.730001174852e+03 
       1.965002437130e-03       7.050923695513e+03 
       2.068259065932e-03       7.374580991376e+03 
       2.173529202328e-03       7.700163589249e+03 
       2.280639438925e-03       8.026926540624e+03 
       2.389428496898e-03       8.354191756828e+03 
       2.499747589710e-03       8.681345998337e+03 
       2.611460334570e-03       9.007839477726e+03 
       2.724442343867e-03       9.333181656074e+03 
       2.838580605082e-03       9.656937857965e+03 
