# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.371770404276e-10       4.163445710294e-15       3.523039450060e-13       0.000000000000e+00 
    3       1.298760062156e-10       5.342665394427e-15       3.954804243231e-13       0.000000000000e+00 
    4       1.229627620701e-10       4.628344020878e-15       3.696966124736e-13       0.000000000000e+00 
    5       1.177789332749e-10       3.092494402711e-15       3.148291567338e-13       0.000000000000e+00 
    6       1.142179891702e-10       1.731054781267e-15       2.535909076927e-13       0.000000000000e+00 
    7       1.119406949042e-10       9.349134361872e-16       1.991387897785e-13       0.000000000000e+00 
    8       1.106109410826e-10       6.019795110451e-16       1.572416116268e-13       0.000000000000e+00 
    9       1.099899867545e-10       4.826934411221e-16       1.291566069135e-13       0.000000000000e+00 
   10       1.098857799424e-10       4.113283054258e-16       1.135587013872e-13       0.000000000000e+00 
   11       1.101909403680e-10       3.453012826350e-16       1.078314916721e-13       0.000000000000e+00 
   12       1.108345678554e-10       3.000146179045e-16       1.089635593480e-13       0.000000000000e+00 
   13       1.117122393999e-10       2.868699819845e-16       1.142150178248e-13       0.000000000000e+00 
   14       1.127452155971e-10       2.981827732006e-16       1.215741170761e-13       0.000000000000e+00 
   15       1.139547034464e-10       3.220882729044e-16       1.297749696055e-13       0.000000000000e+00 
   16       1.153405616285e-10       3.558954231432e-16       1.381084734461e-13       0.000000000000e+00 
   17       1.167943062420e-10       4.049523961005e-16       1.464366160977e-13       0.000000000000e+00 
   18       1.183442054105e-10       4.747269321121e-16       1.549399868486e-13       0.000000000000e+00 
   19       1.200049312757e-10       5.657113943456e-16       1.638158151170e-13       0.000000000000e+00 
   20       1.217173176184e-10       6.760787662950e-16       1.732228789412e-13       0.000000000000e+00 
   21       1.234948219311e-10       8.050910302293e-16       1.831485599479e-13       0.000000000000e+00 
   22       1.253416121254e-10       9.520850034332e-16       1.934428947069e-13       0.000000000000e+00 
   23       1.272491056906e-10       1.117316616044e-15       2.037665255332e-13       0.000000000000e+00 
   24       1.291857987903e-10       1.301149540886e-15       2.136738042577e-13       0.000000000000e+00 
   25       1.311606053649e-10       1.503708738067e-15       2.228580990740e-13       0.000000000000e+00 
   26       1.331810631382e-10       1.725199930808e-15       2.310663151198e-13       0.000000000000e+00 
   27       1.352554270213e-10       1.967211756556e-15       2.382237661254e-13       0.000000000000e+00 
   28       1.373744180861e-10       2.231999412812e-15       2.443330482993e-13       0.000000000000e+00 
   29       1.395149033065e-10       2.521860276352e-15       2.494299098577e-13       0.000000000000e+00 
   30       1.416842690056e-10       2.837960384953e-15       2.535750473150e-13       0.000000000000e+00 
   31       1.438900775275e-10       3.181036628515e-15       2.568640936580e-13       0.000000000000e+00 
   32       1.461305449254e-10       3.551768203230e-15       2.593813772248e-13       0.000000000000e+00 
   33       1.484068486721e-10       3.951079937252e-15       2.610204658614e-13       0.000000000000e+00 
   34       1.507129686372e-10       4.379939672489e-15       2.615953391908e-13       0.000000000000e+00 
   35       1.530372328921e-10       4.839266118836e-15       2.609154897294e-13       0.000000000000e+00 
   36       1.553832309130e-10       5.329896626686e-15       2.588938997203e-13       0.000000000000e+00 
   37       1.577545853894e-10       5.852600707132e-15       2.554749792951e-13       0.000000000000e+00 
   38       1.601484911560e-10       6.408082454764e-15       2.506061781393e-13       0.000000000000e+00 
   39       1.625591182543e-10       6.996996232536e-15       2.442482492548e-13       0.000000000000e+00 
   40       1.649909736426e-10       7.620011810452e-15       2.364098475036e-13       0.000000000000e+00 
