# Matter power spectrum P(k) at redshift z=0
# for k=1.04769e-05 to 1.50104 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047691926673e-05       4.802373440574e+01 
       2.341195969144e-05       1.040072963607e+02 
       3.639282524205e-05       1.579526002361e+02 
       4.945473654097e-05       2.125944398682e+02 
       6.263350121712e-05       2.676012249509e+02 
       7.596583586913e-05       3.227187934213e+02 
       8.948969840081e-05       3.781920874708e+02 
       1.032446351835e-04       4.340074708453e+02 
       1.172721475338e-04       4.907876153864e+02 
       1.316160820285e-04       5.486185897129e+02 
       1.463230491844e-04       6.076598925131e+02 
       1.614428749642e-04       6.680914941731e+02 
       1.770290893801e-04       7.302438938424e+02 
       1.931394560741e-04       7.941893660067e+02 
       2.098365460572e-04       8.602698605403e+02 
       2.271883576509e-04       9.287230418474e+02 
       2.452689829160e-04       9.998041128771e+02 
       2.641593182404e-04       1.073845138339e+03 
       2.839478130117e-04       1.151141836804e+03 
       3.047312450610e-04       1.232095852291e+03 
       3.266155044503e-04       1.317013276768e+03 
       3.497163577526e-04       1.406382837675e+03 
       3.741601528615e-04       1.500602726225e+03 
       4.000844093178e-04       1.600196940723e+03 
       4.276382212021e-04       1.705643530487e+03 
       4.569823794406e-04       1.817513831699e+03 
       4.882890994007e-04       1.936387472034e+03 
       5.217412207200e-04       2.062869237806e+03 
       5.575307338581e-04       2.197585736831e+03 
       5.958564881904e-04       2.341171559351e+03 
       6.369209573755e-04       2.494249833465e+03 
       6.809259874632e-04       2.657420434344e+03 
       7.280675380726e-04       2.831240134121e+03 
       7.785295479921e-04       3.016185378376e+03 
       8.324772054196e-04       3.212651926729e+03 
       8.900500592742e-04       3.420891950424e+03 
       9.513555391333e-04       3.641047503352e+03 
       1.016463518805e-03       3.873071129869e+03 
       1.085402528892e-03       4.116755915431e+03 
       1.158158082529e-03       4.371731403702e+03 
       1.234673340766e-03       4.637459537733e+03 
       1.314852054488e-03       4.913258893174e+03 
       1.398563440701e-03       5.198303895550e+03 
       1.485648442292e-03       5.491727308636e+03 
       1.575926719562e-03       5.792568048691e+03 
       1.669203735000e-03       6.099881070770e+03 
       1.765277396890e-03       6.412681552571e+03 
       1.863943883486e-03       6.729991309280e+03 
       1.965002437130e-03       7.050910835326e+03 
       2.068259065932e-03       7.374580008177e+03 
       2.173529202328e-03       7.700167725732e+03 
       2.280639438925e-03       8.026929667292e+03 
       2.389428496898e-03       8.354181552430e+03 
       2.499747589710e-03       8.681354739339e+03 
       2.611460334570e-03       9.007842225807e+03 
       2.724442343867e-03       9.333181709908e+03 
       2.838580605082e-03       9.656939208044e+03 
       2.953772734075e-03       9.978734828795e+03 
       3.069926165532e-03       1.029821500533e+04 
       3.186957326544e-03       1.061508689580e+04 
       3.304790825059e-03       1.092910508817e+04 
       3.423358673943e-03       1.124002538711e+04 
       3.542599563180e-03       1.154770456376e+04 
       3.662458186809e-03       1.185190205716e+04 
       3.782884627033e-03       1.215253359397e+04 
       3.903833795138e-03       1.244944562876e+04 
       4.025264927028e-03       1.274254716992e+04 
       4.147141130114e-03       1.303178087841e+04 
       4.269428977703e-03       1.331699503531e+04 
       4.392098146795e-03       1.359822499495e+04 
       4.515121095213e-03       1.387537733054e+04 
       4.638472774103e-03       1.414839923426e+04 
       4.762130372125e-03       1.441732250767e+04 
       4.886073087878e-03       1.468205545075e+04 
       5.010281927456e-03       1.494258683831e+04 
       5.134739524298e-03       1.519900596565e+04 
       5.259429978799e-03       1.545129129676e+04 
       5.384338715414e-03       1.569936166782e+04 
       5.509452355258e-03       1.594330488726e+04 
       5.634758602397e-03       1.618314506716e+04 
       5.760246142280e-03       1.641880025199e+04 
       5.885904550900e-03       1.665044257798e+04 
       6.011724213466e-03       1.687794484624e+04 
       6.137696251509e-03       1.710140550819e+04 
       6.263812457458e-03       1.732085061534e+04 
       6.390065235866e-03       1.753627206212e+04 
       6.516447550522e-03       1.774769680388e+04 
       6.642952876822e-03       1.795521838168e+04 
       6.769575158811e-03       1.815881488955e+04 
       6.896308770390e-03       1.835852287660e+04 
       7.023148480245e-03       1.855439534244e+04 
       7.150089420099e-03       1.874650570775e+04 
       7.277127055941e-03       1.893477493691e+04 
       7.404257161913e-03       1.911831587236e+04 
       7.531475796594e-03       1.929916361532e+04 
       7.658779281424e-03       1.947632696749e+04 
       7.786164181060e-03       1.964984107192e+04 
       7.913627285467e-03       1.981976097277e+04 
       8.041165593574e-03       1.998613701640e+04 
