# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.416981969867e+04       1.416981969867e-10       1.416981969867e+18       2.676317464532e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       3.462620761484e-08       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       5.404290277189e-06       2.000000000000e+00 
       9.991943997396e+13       7.571713149920e-26       4.638422979042e-09       2.153781920381e+22       1.416981969867e+04       1.418124411262e-10       1.415840448823e+18       2.678475245463e-09       2.742704612622e+44       2.484408360229e+33       1.333149012305e+34       3.462620761484e-08       1.896071947780e+44       4.638776560560e+44       4.638776560560e+44       1.546258853467e+44      -1.333195767989e+53       5.413001181725e-06       1.996781488456e+00 
       9.983894484710e+13       7.583927459902e-26       4.643879947253e-09       2.150313143616e+22       1.416981969867e+04       1.419267773750e-10       1.414699847389e+18       2.680634765705e-09       2.733877192643e+44       2.478408875946e+33       1.329929651642e+34       3.462620761484e-08       1.889969422807e+44       4.623846615608e+44       4.623846615608e+44       1.541282205150e+44      -1.327834299063e+53       5.421712086260e-06       1.993573318532e+00 
       9.975851456713e+13       7.596161474099e-26       4.647517926060e-09       2.146849953495e+22       1.416981969867e+04       1.420412058074e-10       1.413560164824e+18       2.682796027092e-09       2.725078183797e+44       2.472423879544e+33       1.326718065266e+34       3.462620761484e-08       1.883886538866e+44       4.608964722820e+44       4.608964722820e+44       1.536321574221e+44      -1.322494391373e+53       5.430422990795e-06       1.990375440994e+00 
       9.967814908182e+13       7.608415223194e-26       4.651155904867e-09       2.143392341020e+22       1.416981969867e+04       1.421557264977e-10       1.412421400387e+18       2.684959030978e-09       2.716307494641e+44       2.466453336036e+33       1.323514234403e+34       3.462620761484e-08       1.877823232743e+44       4.594130727542e+44       4.594130727542e+44       1.531376909128e+44      -1.317175958211e+53       5.439133895329e-06       1.987187806426e+00 
       9.959784833896e+13       7.620688737232e-26       4.654793883674e-09       2.139940297208e+22       1.416981969867e+04       1.422703395203e-10       1.411283553339e+18       2.687123778688e-09       2.707565034029e+44       2.460497210521e+33       1.320318140325e+34       3.462620761484e-08       1.871779441427e+44       4.579344475613e+44       4.579344475613e+44       1.526448158485e+44      -1.311878913217e+53       5.447844799863e-06       1.984010365752e+00 
       9.951761228640e+13       7.632982049883e-26       4.658431862481e-09       2.136493813090e+22       1.416981969867e+04       1.423850449496e-10       1.410146622941e+18       2.689290271708e-09       2.698850711107e+44       2.454555468182e+33       1.317129764349e+34       3.462620761484e-08       1.865755102108e+44       4.564605813371e+44       4.564605813371e+44       1.521535271072e+44      -1.306603170376e+53       5.456555704397e-06       1.980843070092e+00 
       9.943744087203e+13       7.645295192433e-26       4.662069841288e-09       2.133052879712e+22       1.416981969867e+04       1.424998428601e-10       1.409010608454e+18       2.691458511416e-09       2.690164435313e+44       2.448628074284e+33       1.313949087836e+34       3.462620761484e-08       1.859750152181e+44       4.549914587650e+44       4.549914587650e+44       1.516638195831e+44      -1.301348644024e+53       5.465266608930e-06       1.977685870960e+00 
       9.935733404377e+13       7.657628197277e-26       4.665707820095e-09       2.129617488136e+22       1.416981969867e+04       1.426147333264e-10       1.407875509141e+18       2.693628499238e-09       2.681506116377e+44       2.442714994180e+33       1.310776092193e+34       3.462620761484e-08       1.853764529240e+44       4.535270645773e+44       4.535270645773e+44       1.511756881872e+44      -1.296115248836e+53       5.473977513463e-06       1.974538720139e+00 
       9.927729174959e+13       7.669981096848e-26       4.669345798902e-09       2.126187629434e+22       1.416981969867e+04       1.427297164231e-10       1.406741324264e+18       2.695800236600e-09       2.672875664320e+44       2.436816193302e+33       1.307610758873e+34       3.462620761484e-08       1.847798171082e+44       4.520673835558e+44       4.520673835558e+44       1.506891278468e+44      -1.290902899834e+53       5.482688417996e-06       1.971401569725e+00 
       9.919731393751e+13       7.682353923477e-26       4.672983777709e-09       2.122763294696e+22       1.416981969867e+04       1.428447922249e-10       1.405608053087e+18       2.697973724926e-09       2.664272989453e+44       2.430931637170e+33       1.304453069372e+34       3.462620761484e-08       1.841851015702e+44       4.506124005310e+44       4.506124005310e+44       1.502041335052e+44      -1.285711512380e+53       5.491399322530e-06       1.968274372116e+00 
       9.911740055557e+13       7.694746709356e-26       4.676621756516e-09       2.119344475026e+22       1.416981969867e+04       1.429599608066e-10       1.404475694874e+18       2.700148965626e-09       2.655698002373e+44       2.425061291383e+33       1.301303005231e+34       3.462620761484e-08       1.835923001297e+44       4.491621003825e+44       4.491621003825e+44       1.497207001223e+44      -1.280541002176e+53       5.500110227063e-06       1.965157080025e+00 
       9.903755155187e+13       7.707159486782e-26       4.680259735323e-09       2.115931161542e+22       1.416981969867e+04       1.430752222429e-10       1.403344248888e+18       2.702325960121e-09       2.647150613969e+44       2.419205121626e+33       1.298160548036e+34       3.462620761484e-08       1.830014066260e+44       4.477164680383e+44       4.477164680383e+44       1.492388226743e+44      -1.275391285266e+53       5.508821131596e-06       1.962049646457e+00 
       9.895776687455e+13       7.719592287926e-26       4.683897714131e-09       2.112523345374e+22       1.416981969867e+04       1.431905766087e-10       1.402213714396e+18       2.704504709818e-09       2.638630735412e+44       2.413363093666e+33       1.295025679417e+34       3.462620761484e-08       1.824124149185e+44       4.462754884751e+44       4.462754884751e+44       1.487584961532e+44      -1.270262278027e+53       5.517532036130e-06       1.958952024723e+00 
       9.887804647179e+13       7.732045145336e-26       4.687535692938e-09       2.109121017670e+22       1.416981969867e+04       1.433060239789e-10       1.401084090662e+18       2.706685216146e-09       2.630138278163e+44       2.407535173353e+33       1.291898381049e+34       3.462620761484e-08       1.818253188862e+44       4.448391467178e+44       4.448391467178e+44       1.482797155675e+44      -1.265153897177e+53       5.526242940663e-06       1.955864168414e+00 
       9.879839029180e+13       7.744518091582e-26       4.691173671745e-09       2.105724169590e+22       1.416981969867e+04       1.434215644286e-10       1.399955376954e+18       2.708867480529e-09       2.621673153965e+44       2.401721326618e+33       1.288778634651e+34       3.462620761484e-08       1.812401124279e+44       4.434074278397e+44       4.434074278397e+44       1.478024759415e+44      -1.260066059765e+53       5.534953845196e-06       1.952786031419e+00 
