# ACT DR4 TT Residuals vs Planck 2018 LCDM
# Computed with CLASS - data extraction verified
#
# Total bins: 40
# Sum (D-M)/sigma: 3.49
# Overall significance: 0.55 sigma
# Chi2: 60.5 for 40 dof
#
# Breakdown by ell range:
# ell 600-1000: sum=+3.6, N=8, sig=+1.3sigma, ratio=1.043
# ell 1000-1500: sum=-2.9, N=10, sig=-0.9sigma, ratio=0.974
# ell 1500-2000: sum=+4.9, N=10, sig=+1.6sigma, ratio=1.012
# ell 2000-3000: sum=+3.1, N=8, sig=+1.1sigma, ratio=1.009
# ell 3000-5000: sum=-5.3, N=4, sig=-2.6sigma, ratio=0.916
#
# Columns: ell, X_data, X_model, residual, sigma, SNR=(D-M)/sigma
600.5 0.04356246 0.03924188 0.00432058 0.00309739 +1.395
650.5 0.02902848 0.02768789 0.00134060 0.00211376 +0.634
700.5 0.02358085 0.02379849 -0.00021764 0.00184914 -0.118
750.5 0.02645377 0.02476061 0.00169316 0.00171633 +0.987
800.5 0.02555434 0.02484491 0.00070944 0.00160004 +0.443
850.5 0.02062493 0.02112371 -0.00049879 0.00129242 -0.386
900.5 0.01561550 0.01495524 0.00066026 0.00093762 +0.704
950.5 0.00942522 0.00948740 -0.00006218 0.00060333 -0.103
1000.5 0.00567841 0.00667222 -0.00099382 0.00041979 -2.367
1050.5 0.00616680 0.00615918 0.00000762 0.00036848 +0.021
1100.5 0.00655000 0.00629837 0.00025163 0.00035445 +0.710
1150.5 0.00583821 0.00582305 0.00001516 0.00031595 +0.048
1200.5 0.00403976 0.00463225 -0.00059249 0.00025235 -2.348
1250.5 0.00348390 0.00339490 0.00008900 0.00018872 +0.472
1300.5 0.00257436 0.00269812 -0.00012376 0.00014281 -0.867
1350.5 0.00273360 0.00256281 0.00017079 0.00013657 +1.251
1400.5 0.00274278 0.00258934 0.00015344 0.00013509 +1.136
1450.5 0.00229689 0.00240416 -0.00010728 0.00011726 -0.915
1500.5 0.00200906 0.00194663 0.00006243 0.00009330 +0.669
1550.5 0.00122359 0.00142002 -0.00019642 0.00007101 -2.766
1600.5 0.00117869 0.00104727 0.00013142 0.00005262 +2.497
1650.5 0.00093392 0.00089079 0.00004313 0.00004518 +0.955
1700.5 0.00082243 0.00085491 -0.00003249 0.00004194 -0.775
1750.5 0.00080992 0.00080951 0.00000041 0.00003817 +0.011
1800.5 0.00074309 0.00069901 0.00004408 0.00003243 +1.360
1850.5 0.00054338 0.00055607 -0.00001269 0.00002649 -0.479
1900.5 0.00046165 0.00044184 0.00001981 0.00002117 +0.936
1950.5 0.00042958 0.00038350 0.00004608 0.00001827 +2.522
2000.5 0.00035737 0.00036409 -0.00000673 0.00001644 -0.409
2075.5 0.00033603 0.00032008 0.00001596 0.00000963 +1.657
2175.5 0.00020620 0.00021253 -0.00000633 0.00000705 -0.899
2275.5 0.00014589 0.00014384 0.00000204 0.00000478 +0.428
2375.5 0.00012056 0.00011967 0.00000088 0.00000400 +0.221
2475.5 0.00009366 0.00008787 0.00000579 0.00000327 +1.769
2625.5 0.00005784 0.00005738 0.00000046 0.00000166 +0.279
2825.5 0.00003205 0.00003196 0.00000009 0.00000121 +0.078
3025.5 0.00001730 0.00001803 -0.00000072 0.00000091 -0.792
3325.5 0.00000759 0.00000810 -0.00000051 0.00000052 -0.988
3725.5 0.00000198 0.00000267 -0.00000069 0.00000040 -1.711
4125.5 0.00000040 0.00000098 -0.00000058 0.00000033 -1.768
