# A_sh probability_density
-5.421893746150804327e-01 8.307211481525836674e-03
-5.301516408674340486e-01 0.000000000000000000e+00
-5.181139071197875534e-01 0.000000000000000000e+00
-5.060761733721410582e-01 0.000000000000000000e+00
-4.940384396244945631e-01 1.661442296305174968e-02
-4.820007058768481789e-01 0.000000000000000000e+00
-4.699629721292016837e-01 2.492163444457750829e-02
-4.579252383815551886e-01 3.322884592610334670e-02
-4.458875046339086934e-01 4.153605740762937593e-02
-4.338497708862623092e-01 6.645769185220699871e-02
-4.218120371386158141e-01 4.984326888915501658e-02
-4.097743033909693189e-01 7.476490333373288222e-02
-3.977365696433229347e-01 1.163009607413622443e-01
-3.856988358956764396e-01 1.163009607413617030e-01
-3.736611021480299444e-01 1.578370181489908985e-01
-3.616233684003834492e-01 2.076802870381468935e-01
-3.495856346527370651e-01 1.412225951859398809e-01
-3.375479009050905699e-01 1.993730755566200663e-01
-3.255101671574440747e-01 3.156740362979817971e-01
-3.134724334097975795e-01 2.326019214827244885e-01
-3.014346996621511954e-01 2.575235559273020836e-01
-2.893969659145047002e-01 5.067399003730760354e-01
-2.773592321668582050e-01 6.645769185220700148e-01
-2.653214984192118209e-01 6.313480725959664808e-01
-2.532837646715653257e-01 7.725706677819028645e-01
-2.412460309239188583e-01 7.559562448188545947e-01
-2.292082971762723909e-01 8.639499940786868892e-01
-2.171705634286259234e-01 9.553293203754755769e-01
-2.051328296809794560e-01 1.088244704079884606e+00
-1.930950959333329886e-01 1.271003356673458873e+00
-1.810573621856865212e-01 1.395611528896340436e+00
-1.690196284380400538e-01 1.271003356673458873e+00
-1.569818946903936141e-01 1.445454797785502121e+00
-1.449441609427471467e-01 1.586677392971434619e+00
-1.329064271951006793e-01 1.927273063714002976e+00
-1.208686934474542118e-01 1.869122583343313160e+00
-1.088309596998077444e-01 1.935580275195528888e+00
-9.679322595216127700e-02 2.184796619641294679e+00
-8.475549220451480958e-02 2.334326426308770852e+00
-7.271775845686834217e-02 2.342633637790285661e+00
-6.068002470922187475e-02 2.392476906679452231e+00
-4.864229096157543508e-02 2.467241810013184544e+00
-3.660455721392896766e-02 2.616771616680638513e+00
-2.456682346628247249e-02 2.566928347791483489e+00
-1.252908971863603282e-02 2.550313924828455203e+00
-4.913559709895931604e-04 2.583542770754534867e+00
1.154637777665690201e-02 2.907524018534042742e+00
2.358411152430334168e-02 2.542006713346929292e+00
3.562184527194978134e-02 2.450627387050121619e+00
4.765957901959627652e-02 2.683229308532845359e+00
5.969731276724277169e-02 2.159874985196717390e+00
7.173504651488921136e-02 2.301097580382677865e+00
8.377278026253565102e-02 2.151567773715191478e+00
9.581051401018214619e-02 2.110031716307562810e+00
1.078482477578286414e-01 1.918965852232468405e+00
1.198859815054750810e-01 2.226332677048944664e+00
1.319237152531215207e-01 1.794357680009580402e+00
1.439614490007680159e-01 1.653135084823641687e+00
1.559991827484144555e-01 1.578370181489923585e+00
1.680369164960608952e-01 1.287617779636504478e+00
1.800746502437073904e-01 1.428840374822443859e+00
1.921123839913538855e-01 1.163009607413617141e+00
2.041501177390003252e-01 1.088244704079894598e+00
2.161878514866467649e-01 9.802509548200487588e-01
2.282255852342932601e-01 8.473355711156352887e-01
2.402633189819396997e-01 6.064264381513916335e-01
2.523010527295861394e-01 6.978057644481702182e-01
2.643387864772326346e-01 5.233543233361277469e-01
2.763765202248791297e-01 4.652038429654468121e-01
2.884142539725255694e-01 3.655173051871401513e-01
3.004519877201720091e-01 3.156740362979817971e-01
3.124897214678185042e-01 3.239812477795075973e-01
3.245274552154649439e-01 3.239812477795105949e-01
3.365651889631113836e-01 1.993730755566200663e-01
3.486029227107578787e-01 1.495298066674650428e-01
3.606406564584043739e-01 1.495298066674650428e-01
3.726783902060508136e-01 1.163009607413627855e-01
3.847161239536972532e-01 8.307211481525836327e-02
3.967538577013437484e-01 1.163009607413617030e-01
4.087915914489902436e-01 5.815048037068085152e-02
4.208293251966366832e-01 6.645769185220730402e-02
4.328670589442831229e-01 5.815048037068085152e-02
4.449047926919296181e-01 3.322884592610334670e-02
4.569425264395760578e-01 2.492163444457774074e-02
4.689802601872224974e-01 0.000000000000000000e+00
4.810179939348689926e-01 3.322884592610334670e-02
4.930557276825154878e-01 8.307211481525836674e-03
5.050934614301619829e-01 8.307211481525836674e-03
5.171311951778083671e-01 8.307211481525989330e-03
5.291689289254547512e-01 8.307211481525836674e-03
5.412066626731012464e-01 8.307211481525836674e-03
5.532443964207477416e-01 0.000000000000000000e+00
5.652821301683942368e-01 0.000000000000000000e+00
5.773198639160407319e-01 0.000000000000000000e+00
5.893575976636872271e-01 0.000000000000000000e+00
6.013953314113336113e-01 0.000000000000000000e+00
6.134330651589799954e-01 0.000000000000000000e+00
6.254707989066264906e-01 0.000000000000000000e+00
6.375085326542729858e-01 0.000000000000000000e+00
6.495462664019193699e-01 8.307211481525913002e-03
