# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.399436994934e+04       1.399436994934e-10       1.399436994934e+18       2.676317464532e-09       2.751560535470e+44       2.488998175392e+33       1.335180067264e+34       4.183432630307e-08       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       5.574618800814e-06       2.000000000000e+00 
       9.991943997396e+13       7.571938637596e-26       4.638422979042e-09       2.153781920381e+22       1.399436994934e+04       1.400565290697e-10       1.398309608127e+18       2.678495085393e-09       2.742704612622e+44       2.482987607374e+33       1.331955801899e+34       4.183432630307e-08       1.896071947780e+44       4.638776560560e+44       4.638776560560e+44       1.546258853467e+44      -1.333195767989e+53       5.583604580930e-06       1.996795951872e+00 
       9.983894484710e+13       7.584358766035e-26       4.643879947253e-09       2.150313143616e+22       1.399436994934e+04       1.401694496148e-10       1.397183129542e+18       2.680672706254e-09       2.733877192643e+44       2.476991554002e+33       1.328739322666e+34       4.183432630307e-08       1.889969422807e+44       4.623846615608e+44       4.623846615608e+44       1.541282205150e+44      -1.327834299063e+53       5.592590361045e-06       1.993600927397e+00 
       9.975851456713e+13       7.596778894475e-26       4.647517926060e-09       2.146849953495e+22       1.399436994934e+04       1.402824612021e-10       1.396057558449e+18       2.682850327115e-09       2.725078183797e+44       2.471009980226e+33       1.325530610760e+34       4.183432630307e-08       1.883886538866e+44       4.608964722820e+44       4.608964722820e+44       1.536321574221e+44      -1.322494391373e+53       5.601576141160e-06       1.990414881094e+00 
       9.967814908182e+13       7.609199022914e-26       4.651155904867e-09       2.143392341020e+22       1.399436994934e+04       1.403955639049e-10       1.394932894117e+18       2.685027947976e-09       2.716307494641e+44       2.465042851079e+33       1.322329647427e+34       4.183432630307e-08       1.877823232743e+44       4.594130727541e+44       4.594130727541e+44       1.531376909128e+44      -1.317175958211e+53       5.610561921275e-06       1.987237767765e+00 
       9.959784833896e+13       7.621619151353e-26       4.654793883674e-09       2.139940297207e+22       1.399436994934e+04       1.405087577968e-10       1.393809135814e+18       2.687205568837e-09       2.707565034029e+44       2.459090131680e+33       1.319136413954e+34       4.183432630307e-08       1.871779441427e+44       4.579344475612e+44       4.579344475612e+44       1.526448158485e+44      -1.311878913217e+53       5.619547701391e-06       1.984069542504e+00 
       9.951761228640e+13       7.634039279793e-26       4.658431862481e-09       2.136493813090e+22       1.399436994934e+04       1.406220429512e-10       1.392686282811e+18       2.689383189698e-09       2.698850711107e+44       2.453151787230e+33       1.315950891675e+34       4.183432630307e-08       1.865755102108e+44       4.564605813371e+44       4.564605813371e+44       1.521535271072e+44      -1.306603170376e+53       5.628533481506e-06       1.980910160685e+00 
       9.943744087203e+13       7.646459408232e-26       4.662069841288e-09       2.133052879712e+22       1.399436994934e+04       1.407354194418e-10       1.391564334379e+18       2.691560810559e-09       2.690164435313e+44       2.447227783018e+33       1.312773061968e+34       4.183432630307e-08       1.859750152181e+44       4.549914587650e+44       4.549914587650e+44       1.516638195831e+44      -1.301348644024e+53       5.637519261621e-06       1.977759577967e+00 
       9.935733404377e+13       7.658879536671e-26       4.665707820095e-09       2.129617488136e+22       1.399436994934e+04       1.408488873421e-10       1.390443289789e+18       2.693738431420e-09       2.681506116377e+44       2.441318084413e+33       1.309602906256e+34       4.183432630307e-08       1.853764529240e+44       4.535270645773e+44       4.535270645773e+44       1.511756881872e+44      -1.296115248836e+53       5.646505041736e-06       1.974617750287e+00 
       9.927729174959e+13       7.671299665110e-26       4.669345798902e-09       2.126187629434e+22       1.399436994934e+04       1.409624467259e-10       1.389323148313e+18       2.695916052280e-09       2.672875664320e+44       2.435422656869e+33       1.306440406009e+34       4.183432630307e-08       1.847798171082e+44       4.520673835558e+44       4.520673835558e+44       1.506891278468e+44      -1.290902899834e+53       5.655490821851e-06       1.971484633862e+00 
       9.919731393751e+13       7.683719793550e-26       4.672983777709e-09       2.122763294696e+22       1.399436994934e+04       1.410760976669e-10       1.388203909223e+18       2.698093673141e-09       2.664272989453e+44       2.429541465924e+33       1.303285542740e+34       4.183432630307e-08       1.841851015702e+44       4.506124005310e+44       4.506124005310e+44       1.502041335052e+44      -1.285711512380e+53       5.664476601967e-06       1.968360185180e+00 
       9.911740055557e+13       7.696139921989e-26       4.676621756516e-09       2.119344475026e+22       1.399436994934e+04       1.411898402390e-10       1.387085571792e+18       2.700271294002e-09       2.655698002373e+44       2.423674477198e+33       1.300138298005e+34       4.183432630307e-08       1.835923001297e+44       4.491621003825e+44       4.491621003825e+44       1.497207001223e+44      -1.280541002176e+53       5.673462382082e-06       1.965244361007e+00 
       9.903755155187e+13       7.708560050428e-26       4.680259735323e-09       2.115931161542e+22       1.399436994934e+04       1.413036745160e-10       1.385968135294e+18       2.702448914863e-09       2.647150613969e+44       2.417821656396e+33       1.296998653409e+34       4.183432630307e-08       1.830014066260e+44       4.477164680383e+44       4.477164680383e+44       1.492388226743e+44      -1.275391285266e+53       5.682448162197e-06       1.962137118376e+00 
       9.895776687455e+13       7.720980178868e-26       4.683897714131e-09       2.112523345374e+22       1.399436994934e+04       1.414176005718e-10       1.384851599003e+18       2.704626535724e-09       2.638630735412e+44       2.411982969303e+33       1.293866590596e+34       4.183432630307e-08       1.824124149185e+44       4.462754884750e+44       4.462754884750e+44       1.487584961532e+44      -1.270262278027e+53       5.691433942312e-06       1.959038414592e+00 
       9.887804647179e+13       7.733400307307e-26       4.687535692938e-09       2.109121017670e+22       1.399436994934e+04       1.415316184805e-10       1.383735962195e+18       2.706804156585e-09       2.630138278163e+44       2.406158381789e+33       1.290742091259e+34       4.183432630307e-08       1.818253188862e+44       4.448391467178e+44       4.448391467178e+44       1.482797155675e+44      -1.265153897177e+53       5.700419722427e-06       1.955948207225e+00 
