# Matter power spectrum P(k) at redshift z=0
# for k=9.92463e-06 to 10.4338 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.924626074027e-06       6.632045940141e+01 
       2.202183155806e-05       1.244256486966e+02 
       3.415682976729e-05       1.863899033595e+02 
       4.635841133872e-05       2.490106902927e+02 
       5.865578938558e-05       3.119945421971e+02 
       7.107882935159e-05       3.748684110348e+02 
       8.365828540595e-05       4.387149887147e+02 
       9.642604617703e-05       5.026253788793e+02 
       1.094153926460e-04       5.674813279945e+02 
       1.226612710479e-04       6.334543436436e+02 
       1.362005836455e-04       7.005737954243e+02 
       1.500725002303e-04       7.690550433091e+02 
       1.643187931412e-04       8.391751040209e+02 
       1.789841984432e-04       9.111252584406e+02 
       1.941168056258e-04       9.850960379227e+02 
       2.097684777115e-04       1.061322997956e+03 
       2.259953029240e-04       1.140145647746e+03 
       2.428580779616e-04       1.221828173049e+03 
       2.604228213244e-04       1.306621724086e+03 
       2.787613128988e-04       1.394861296130e+03 
       2.979516529361e-04       1.486936074691e+03 
       3.180788294499e-04       1.583180959541e+03 
       3.392352776928e-04       1.684011831344e+03 
       3.615214085336e-04       1.789870868658e+03 
       3.850460740871e-04       1.901236373976e+03 
       4.099269288185e-04       2.018592435677e+03 
       4.362906327413e-04       2.142488214055e+03 
       4.642728308178e-04       2.273472741592e+03 
       4.940178303704e-04       2.412141578905e+03 
       5.256778880542e-04       2.559111128549e+03 
       5.594120124617e-04       2.715003245877e+03 
       5.953841913521e-04       2.880451077707e+03 
       6.337609681095e-04       3.056072652631e+03 
       6.747083246160e-04       3.242463690923e+03 
       7.183878804024e-04       3.440175710414e+03 
       7.649524909469e-04       3.649691729282e+03 
       8.145414168782e-04       3.871399177576e+03 
       8.672753300052e-04       4.105595565231e+03 
       9.232515048969e-04       4.352425318786e+03 
       9.825395958369e-04       4.611887480120e+03 
       1.045178399303e-03       4.883845088893e+03 
       1.111173940401e-03       5.167969883586e+03 
       1.180499100113e-03       5.463788106163e+03 
       1.253094836598e-03       5.770677966868e+03 
       1.328872878135e-03       6.087858522666e+03 
       1.407719611545e-03       6.414501445307e+03 
       1.489500786030e-03       6.749687921801e+03 
       1.574066612516e-03       7.092443117563e+03 
       1.661256860849e-03       7.441763983644e+03 
       1.750905626710e-03       7.796654591197e+03 
       1.842845535428e-03       8.156135094715e+03 
       1.936911249982e-03       8.519254755613e+03 
       2.032942239293e-03       8.885147205170e+03 
       2.130784831506e-03       9.252942408612e+03 
       2.230293622656e-03       9.621916174353e+03 
       2.331332335883e-03       9.991307481169e+03 
       2.433774234578e-03       1.036050496323e+04 
       2.537502189546e-03       1.072892136984e+04 
       2.642408490046e-03       1.109602374272e+04 
       2.748394475021e-03       1.146135074963e+04 
       2.855370046541e-03       1.182447794261e+04 
       2.963253113931e-03       1.218504661917e+04 
       3.071969005191e-03       1.254273935916e+04 
       3.181449872325e-03       1.289726476331e+04 
       3.291634109230e-03       1.324836448143e+04 
       3.402465794522e-03       1.359580576322e+04 
       3.513894166982e-03       1.393941984903e+04 
       3.625873137786e-03       1.427904224560e+04 
       3.738360841246e-03       1.461456483237e+04 
       3.851319223985e-03       1.494584141308e+04 
       3.964713671390e-03       1.527272858095e+04 
       4.078512669390e-03       1.559523854980e+04 
       4.192687499237e-03       1.591320726499e+04 
       4.307211962732e-03       1.622658613655e+04 
       4.422062135315e-03       1.653544672914e+04 
       4.537216144454e-03       1.683957921804e+04 
       4.652653970914e-03       1.713905867602e+04 
       4.768357270629e-03       1.743383218475e+04 
       4.884309215049e-03       1.772401398581e+04 
       5.000494348054e-03       1.800945452599e+04 
       5.116898457665e-03       1.829026660614e+04 
       5.233508460970e-03       1.856634469657e+04 
       5.350312300860e-03       1.883778314068e+04 
       5.467298853272e-03       1.910454224573e+04 
       5.584457843824e-03       1.936671534240e+04 
       5.701779772820e-03       1.962426238143e+04 
       5.819255847716e-03       1.987721885288e+04 
       5.936877922262e-03       2.012564726254e+04 
       6.054638441581e-03       2.036949910510e+04 
       6.172530392576e-03       2.060892750393e+04 
       6.290547259091e-03       2.084381267567e+04 
       6.408682981325e-03       2.107432242283e+04 
       6.526931919061e-03       2.130040281894e+04 
       6.645288818315e-03       2.152213719753e+04 
       6.763748781045e-03       2.173951736947e+04 
       6.882307237628e-03       2.195267471083e+04 
       7.000959921802e-03       2.216150420826e+04 
       7.119702847849e-03       2.236615172907e+04 
       7.238532289785e-03       2.256562440595e+04 
       7.357444762360e-03       2.276201351880e+04 
       7.476437003699e-03       2.295420319367e+04 
       7.595505959424e-03       2.314245216195e+04 
       7.714648768115e-03       2.332669011140e+04 
       7.833862747983e-03       2.350701922751e+04 
       7.953145384644e-03       2.368341557679e+04 
       8.072494319896e-03       2.385590066176e+04 
       8.191907341400e-03       2.402453999826e+04 
       8.311382373189e-03       2.418942728146e+04 
       8.430917466931e-03       2.435057269444e+04 
       8.550510793873e-03       2.450797171210e+04 
       8.670160637419e-03       2.466170495350e+04 
       8.789865386272e-03       2.481175207790e+04 
       8.909623528103e-03       2.495829087853e+04 
       9.029433643701e-03       2.510119234626e+04 
       9.149294401555e-03       2.524058022923e+04 
