# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       1.000000000000e+00       0.000000000000e+00       1.399436994935e+04       1.163658216027e+00       4.526309751963e-07       1.000000000000e+00       4.526309751963e-07       3.566721104527e-01       6.990763672886e-01       5.548379084046e-14       9.173315060015e-14       0.000000000000e+00 
       9.852202187408e-01       1.500150015002e-02       1.393210152349e+04       1.163658211814e+00       4.663131231335e-07       9.999713913228e-01       4.662997825319e-07       3.672304904617e-01       7.085890830790e-01       5.712624869638e-14       9.442006780822e-14       4.248686375973e-08 
       9.708709583455e-01       3.000300030003e-02       1.387022417893e+04       1.163658207341e+00       4.801989955444e-07       9.999421102622e-01       4.801711969505e-07       3.779314118799e-01       7.180558540874e-01       5.879088023185e-14       9.714150425181e-14       8.662108330977e-08 
       9.569336778639e-01       4.500450045005e-02       1.380874090443e+04       1.163658202591e+00       4.942885924106e-07       9.999121566104e-01       4.942451724252e-07       3.887741290731e-01       7.274760755795e-01       6.047756945509e-14       9.989720395176e-14       1.324327461454e-07 
       9.433908859326e-01       6.000600060006e-02       1.374765488007e+04       1.163658197547e+00       5.085819137119e-07       9.998815305957e-01       5.085216623156e-07       3.997578964068e-01       7.368491841700e-01       6.218620037425e-14       1.026869113198e-13       1.799514006864e-07 
       9.302260675412e-01       7.500750075008e-02       1.368696909123e+04       1.163658192192e+00       5.230789594269e-07       9.998502327325e-01       5.230006193205e-07       4.108819682467e-01       7.461746555339e-01       6.391665699736e-14       1.055103711920e-13       2.292061058225e-07 
       9.174236168456e-01       9.000900090009e-02       1.362668640872e+04       1.163658186506e+00       5.377797295321e-07       9.998182638477e-01       5.376819955133e-07       4.221455989584e-01       7.554520022480e-01       6.566882333234e-14       1.083673288583e-13       2.802254013687e-07 
       9.049687754548e-01       1.050105010501e-01       1.356680989781e+04       1.163658180468e+00       5.526842240023e-07       9.997856252477e-01       5.525657424587e-07       4.335478505364e-01       7.646804220754e-01       6.744255346186e-14       1.112574801285e-13       3.330370003290e-07 
       8.928475756764e-01       1.200120012001e-01       1.350734243892e+04       1.163658174057e+00       5.677924428101e-07       9.997523185205e-01       5.676518111379e-07       4.450879387777e-01       7.738594400325e-01       6.923772539387e-14       1.141805612471e-13       3.876680744384e-07 
       8.810467882633e-01       1.350135013501e-01       1.344828670968e+04       1.163658167250e+00       5.831043859263e-07       9.997183455183e-01       5.829401519627e-07       4.567655812847e-01       7.829895034721e-01       7.105429519691e-14       1.171364393245e-13       4.441452570226e-07 
       8.695538742499e-01       1.500150015002e-01       1.338964517153e+04       1.163658160022e+00       5.986200533188e-07       9.996837083402e-01       5.984307147885e-07       4.685799890648e-01       7.920701608016e-01       7.289214013359e-14       1.201248504511e-13       5.024946487948e-07 
       8.583569405099e-01       1.650165016502e-01       1.333142006016e+04       1.163658152348e+00       6.143394449533e-07       9.996484093165e-01       6.141234489280e-07       4.805303731253e-01       8.011009928220e-01       7.475113746637e-14       1.231455312688e-13       5.627418228788e-07 
       8.474446987033e-01       1.800180018002e-01       1.327361337931e+04       1.163658144199e+00       6.302625607929e-07       9.996124509927e-01       6.300183031631e-07       4.926159444733e-01       8.100816108460e-01       7.663116445757e-14       1.261982189817e-13       6.249118321199e-07 
       8.368064273161e-01       1.950195019502e-01       1.321622689721e+04       1.163658135546e+00       6.463894007973e-07       9.995758361174e-01       6.461152257594e-07       5.048359141163e-01       8.190116549141e-01       7.853209836929e-14       1.292826513647e-13       6.890292100739e-07 
       8.264319365237e-01       2.100210021002e-01       1.315926214535e+04       1.163658126358e+00       6.627199649234e-07       9.995385676214e-01       6.624141644736e-07       5.171894930616e-01       8.278907921037e-01       8.045381646348e-14       1.323985667685e-13       7.551179963885e-07 
       8.163115356356e-01       2.250225022502e-01       1.310272041907e+04       1.163658116602e+00       6.792542531245e-07       9.995006486300e-01       6.789150665826e-07       5.296758923163e-01       8.367187149228e-01       8.239619600187e-14       1.355457041230e-13       8.232016742590e-07 
       8.064360029035e-01       2.400240024002e-01       1.304661367984e+04       1.163658106244e+00       6.959922653503e-07       9.994620898938e-01       6.956178840769e-07       5.422943228879e-01       8.454951397863e-01       8.435911424596e-14       1.387238029382e-13       8.932896916145e-07 
       7.967965574946e-01       2.550255025503e-01       1.299093151539e+04       1.163658095245e+00       7.129340015465e-07       9.994228872697e-01       7.125225582584e-07       5.550436660512e-01       8.542192766243e-01       8.634239716399e-14       1.419325175878e-13       9.654181923112e-07 
       7.873848334515e-01       2.700270027003e-01       1.293567080872e+04       1.163658083566e+00       7.300794616545e-07       9.993830416425e-01       7.296290330290e-07       5.679232985125e-01       8.628911664607e-01       8.834594779302e-14       1.451716317874e-13       1.039614213491e-06 
       7.781928554751e-01       2.850285028503e-01       1.288083277801e+04       1.163658071165e+00       7.474286456111e-07       9.993425571811e-01       7.469372540154e-07       5.809327757909e-01       8.715111375415e-01       9.036969698596e-14       1.484409763346e-13       1.115898565463e-06 
       7.692130163859e-01       3.000300030003e-01       1.282641830833e+04       1.163658057997e+00       7.649815533482e-07       9.993014381232e-01       7.644471663986e-07       5.940712871418e-01       8.800789442532e-01       9.241351861953e-14       1.517402873873e-13       1.194291657885e-06 
       7.604380561259e-01       3.150315031503e-01       1.277242797190e+04       1.163658044016e+00       7.827381847922e-07       9.992596887707e-01       7.821587149244e-07       6.073380218207e-01       8.885943603262e-01       9.447728657016e-14       1.550693016582e-13       1.274813501716e-06 
       7.518610421836e-01       3.300330033003e-01       1.271886204735e+04       1.163658029170e+00       8.006985398639e-07       9.992173134826e-01       8.000718439123e-07       6.207321690829e-01       8.970571776059e-01       9.656087471393e-14       1.584277564043e-13       1.357483716475e-06 
       7.434753513272e-01       3.450345034503e-01       1.266572053799e+04       1.163658013406e+00       8.188626184779e-07       9.991743166701e-01       8.181864972644e-07       6.342529181840e-01       9.054672048897e-01       9.866415692655e-14       1.618153894168e-13       1.442321536206e-06 
       7.352746525480e-01       3.600360036004e-01       1.261300318909e+04       1.163657996667e+00       8.372304205421e-07       9.991307027905e-01       8.365026184738e-07       6.478994583792e-01       9.138242668251e-01       1.007870070834e-13       1.652319390093e-13       1.529345815823e-06 
       7.272528911194e-01       3.750375037504e-01       1.256070950432e+04       1.163657978894e+00       8.558019459573e-07       9.990864763421e-01       8.550201506332e-07       6.616709789241e-01       9.221282028684e-01       1.029292990592e-13       1.686771440048e-13       1.618575037537e-06 
       7.194042736888e-01       3.900390039004e-01       1.250883876128e+04       1.163657960022e+00       8.745771946164e-07       9.990416418597e-01       8.737390364426e-07       6.755666690741e-01       9.303788662980e-01       1.050909067287e-13       1.721507437223e-13       1.710027316932e-06 
       7.117232543242e-01       4.050405040504e-01       1.245739002621e+04       1.163657939983e+00       8.935561664041e-07       9.989962039091e-01       8.926592182173e-07       6.895857180847e-01       9.385761232835e-01       1.072717039656e-13       1.756524779628e-13       1.803720410586e-06 
       7.042045214452e-01       4.200420042004e-01       1.240636216795e+04       1.163657918706e+00       9.127388611964e-07       9.989501670843e-01       9.117806378965e-07       7.037273152111e-01       9.467198520045e-01       1.094715646434e-13       1.791820869944e-13       1.899671718229e-06 
       6.968429855739e-01       4.350435043504e-01       1.235575798131e+04       1.163657896112e+00       9.321252788593e-07       9.989035398049e-01       9.311032405942e-07       7.179906497089e-01       9.548099418199e-01       1.116903626351e-13       1.827393115369e-13       1.997890264831e-06 
       6.896337678461e-01       4.500450045005e-01       1.230558372099e+04       1.163657872122e+00       9.517154192488e-07       9.988563341204e-01       9.506269747967e-07       7.323748996217e-01       9.628462768544e-01       1.139279700688e-13       1.863238898275e-13       2.098376842028e-06 
       6.825721892279e-01       4.650465046505e-01       1.225582111654e+04       1.163657846649e+00       9.715092822095e-07       9.988085391734e-01       9.703517669571e-07       7.468789579066e-01       9.708283580380e-01       1.161842147240e-13       1.899354862835e-13       2.201180692325e-06 
       6.756537603892e-01       4.800480048005e-01       1.220646918317e+04       1.163657819601e+00       9.915068675743e-07       9.987601602580e-01       9.902775579555e-07       7.615023953600e-01       9.787566376202e-01       1.184590298240e-13       1.935739422218e-13       2.306316659237e-06 
       6.688741721854e-01       4.950495049505e-01       1.215752669814e+04       1.163657790880e+00       1.011708175163e-06       9.987112025921e-01       1.010404288289e-06       7.762443952909e-01       9.866310310152e-01       1.207522883141e-13       1.972389984708e-13       2.413799439305e-06 
       6.622292867077e-01       5.100510051005e-01       1.210899222196e+04       1.163657760384e+00       1.032113204782e-06       9.986616713566e-01       1.030731898117e-06       7.911041410081e-01       9.944514617589e-01       1.230638631385e-13       2.009303962303e-13       2.523643462028e-06 
       6.557151288609e-01       5.250525052505e-01       1.206086411649e+04       1.163657728002e+00       1.052721956222e-06       9.986115716848e-01       1.051260327250e-06       8.060808158207e-01       1.002217860906e+00       1.253936272407e-13       2.046478770556e-13       2.635862926623e-06 
       6.493278784337e-01       5.400540054005e-01       1.201314056176e+04       1.163657693618e+00       1.073534429259e-06       9.985609086653e-01       1.071989515164e-06       8.211736030376e-01       1.009930166461e+00       1.277414535634e-13       2.083911828408e-13       2.750471798414e-06 
       6.430638626278e-01       5.550555055506e-01       1.196581957159e+04       1.163657657108e+00       1.094550623650e-06       9.985096873401e-01       1.092919400999e-06       8.363816859678e-01       1.017588322850e+00       1.301072150480e-13       2.121600558034e-13       2.867483815768e-06 
       6.369195490159e-01       5.700570057006e-01       1.191889900807e+04       1.163657618341e+00       1.115770539136e-06       9.984579127055e-01       1.114049923564e-06       8.517042479202e-01       1.025192280416e+00       1.324907846352e-13       2.159542384679e-13       2.986912494163e-06 
       6.308915388984e-01       5.850585058506e-01       1.187237659500e+04       1.163657577177e+00       1.137194175436e-06       9.984055897108e-01       1.135381021341e-06       8.671404722039e-01       1.032741994952e+00       1.348920352641e-13       2.197734736505e-13       3.108771131039e-06 
       6.249765610351e-01       6.000600060006e-01       1.182624993032e+04       1.163657533467e+00       1.158821532247e-06       9.983527232590e-01       1.156912632490e-06       8.826895421277e-01       1.040237427263e+00       1.373108398731e-13       2.236175044438e-13       3.233072810045e-06 
       6.191714657254e-01       6.150615061506e-01       1.178051649780e+04       1.163657487055e+00       1.180652609247e-06       9.982993182059e-01       1.178644694849e-06       8.983506410007e-01       1.047678542751e+00       1.397470713988e-13       2.274860742012e-13       3.359830406608e-06 
       6.134732192159e-01       6.300630063006e-01       1.173517367770e+04       1.163657437773e+00       1.202687406086e-06       9.982453793608e-01       1.200577145940e-06       9.141229521317e-01       1.055065311033e+00       1.422006027768e-13       2.313789265226e-13       3.489056588599e-06 
       6.078788984133e-01       6.450645064506e-01       1.169021875680e+04       1.163657385444e+00       1.224925922387e-06       9.981909114834e-01       1.222709922967e-06       9.300056588298e-01       1.062397705580e+00       1.446713069409e-13       2.352958052396e-13       3.620763834637e-06 
