# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.476754844813e-10       4.274534998758e-15       3.453611211907e-13       0.000000000000e+00 
    3       1.379719837888e-10       5.378637995618e-15       3.918592477383e-13       0.000000000000e+00 
    4       1.293605205135e-10       4.547150230906e-15       3.670343274058e-13       0.000000000000e+00 
    5       1.229899357844e-10       2.961006599182e-15       3.121401114546e-13       0.000000000000e+00 
    6       1.186084679691e-10       1.626014937575e-15       2.507861994249e-13       0.000000000000e+00 
    7       1.157424248756e-10       8.822508053722e-16       1.965282818138e-13       0.000000000000e+00 
    8       1.139445868582e-10       5.835759504256e-16       1.552275929045e-13       0.000000000000e+00 
    9       1.129634340407e-10       4.724570601688e-16       1.280341891386e-13       0.000000000000e+00 
   10       1.126202920688e-10       3.985173265511e-16       1.133833916294e-13       0.000000000000e+00 
   11       1.127040961496e-10       3.331962613296e-16       1.085010038373e-13       0.000000000000e+00 
   12       1.131608600680e-10       2.936627635890e-16       1.103136137089e-13       0.000000000000e+00 
   13       1.139053112273e-10       2.862442825186e-16       1.160189200716e-13       0.000000000000e+00 
   14       1.148094411569e-10       3.003626007345e-16       1.236617029072e-13       0.000000000000e+00 
   15       1.159563116147e-10       3.260209186943e-16       1.320178397351e-13       0.000000000000e+00 
   16       1.172399350220e-10       3.635975027673e-16       1.404858421545e-13       0.000000000000e+00 
   17       1.186534338880e-10       4.191417179531e-16       1.489878556327e-13       0.000000000000e+00 
   18       1.201724584629e-10       4.965443543230e-16       1.577397230954e-13       0.000000000000e+00 
   19       1.217939972812e-10       5.952945104021e-16       1.669615202267e-13       0.000000000000e+00 
   20       1.234736996750e-10       7.129551351988e-16       1.768060252218e-13       0.000000000000e+00 
   21       1.252265113547e-10       8.492113303212e-16       1.871338488622e-13       0.000000000000e+00 
   22       1.270539321452e-10       1.004146697083e-15       1.976356629705e-13       0.000000000000e+00 
   23       1.289532349145e-10       1.177867942586e-15       2.079861239384e-13       0.000000000000e+00 
   24       1.308988690892e-10       1.370414561677e-15       2.178119814033e-13       0.000000000000e+00 
   25       1.328907411429e-10       1.582418772503e-15       2.268132224548e-13       0.000000000000e+00 
   26       1.349231747341e-10       1.814827613615e-15       2.347340839352e-13       0.000000000000e+00 
   27       1.370057993072e-10       2.069307740793e-15       2.415473358837e-13       0.000000000000e+00 
   28       1.391362521990e-10       2.347934457467e-15       2.473329422869e-13       0.000000000000e+00 
   29       1.412979150415e-10       2.652810133729e-15       2.521960890025e-13       0.000000000000e+00 
   30       1.434966468320e-10       2.985152035155e-15       2.561530062422e-13       0.000000000000e+00 
   31       1.457349013175e-10       3.345835885809e-15       2.592027665490e-13       0.000000000000e+00 
   32       1.480053836730e-10       3.735643667592e-15       2.613345994872e-13       0.000000000000e+00 
   33       1.503082277249e-10       4.155360846767e-15       2.624492241595e-13       0.000000000000e+00 
   34       1.526376933133e-10       4.605698761613e-15       2.624066584900e-13       0.000000000000e+00 
   35       1.549829910127e-10       5.087341765668e-15       2.610633432923e-13       0.000000000000e+00 
   36       1.573510765746e-10       5.601227815514e-15       2.583358894656e-13       0.000000000000e+00 
   37       1.597502508382e-10       6.148358784608e-15       2.541583342658e-13       0.000000000000e+00 
   38       1.621832673892e-10       6.729724855458e-15       2.484652299813e-13       0.000000000000e+00 
   39       1.646485797477e-10       7.346246738368e-15       2.412076994627e-13       0.000000000000e+00 
   40       1.671462232923e-10       7.998581076584e-15       2.324082399854e-13       0.000000000000e+00 
   41       1.696728178788e-10       8.687246999548e-15       2.221245715842e-13       0.000000000000e+00 
   42       1.722193069265e-10       9.412671897898e-15       2.104363633919e-13       0.000000000000e+00 
   43       1.747754268294e-10       1.017525512062e-14       1.974116521412e-13       0.000000000000e+00 
   44       1.773460302600e-10       1.097559554045e-14       1.829907183745e-13       0.000000000000e+00 
   45       1.799389633000e-10       1.181432587928e-14       1.670680420842e-13       0.000000000000e+00 
   46       1.825603063528e-10       1.269204883059e-14       1.495229820808e-13       0.000000000000e+00 
   47       1.852141632739e-10       1.360933605635e-14       1.302187847226e-13       0.000000000000e+00 
   48       1.879026476104e-10       1.456667509560e-14       1.090315798825e-13       0.000000000000e+00 
   49       1.906263287584e-10       1.556429473328e-14       8.594934713553e-14       0.000000000000e+00 
   50       1.933835492749e-10       1.660228868166e-14       6.099914381364e-14       0.000000000000e+00 
   51       1.961700428794e-10       1.768065980029e-14       3.422007889693e-14       0.000000000000e+00 
   52       1.989787336416e-10       1.879931643542e-14       5.663851704131e-15       0.000000000000e+00 
   53       2.018024591771e-10       1.995814761965e-14      -2.462284075898e-14       0.000000000000e+00 
   54       2.046434245808e-10       2.115727979897e-14      -5.665763274777e-14       0.000000000000e+00 
   55       2.075058295173e-10       2.239687974135e-14      -9.047747798528e-14       0.000000000000e+00 
   56       2.103930805491e-10       2.367708110868e-14      -1.261220702457e-13       0.000000000000e+00 
   57       2.133077129239e-10       2.499798410268e-14      -1.636340648879e-13       0.000000000000e+00 
   58       2.162513123619e-10       2.635965511083e-14      -2.030593003890e-13       0.000000000000e+00 
   59       2.192248582297e-10       2.776200632513e-14      -2.444341245916e-13       0.000000000000e+00 
   60       2.222300237616e-10       2.920440275710e-14      -2.877434333529e-13       0.000000000000e+00 
   61       2.252680400954e-10       3.068596317194e-14      -3.329532614314e-13       0.000000000000e+00 
   62       2.283392388112e-10       3.220566775882e-14      -3.800226097782e-13       0.000000000000e+00 
   63       2.314429880031e-10       3.376235370800e-14      -4.289032299418e-13       0.000000000000e+00 
   64       2.345776283508e-10       3.535471078809e-14      -4.795394084737e-13       0.000000000000e+00 
   65       2.377413344834e-10       3.698145287414e-14      -5.318791149926e-13       0.000000000000e+00 
   66       2.409350546928e-10       3.864188468886e-14      -5.859106747761e-13       0.000000000000e+00 
   67       2.441600813619e-10       4.033544753585e-14      -6.416335003418e-13       0.000000000000e+00 
   68       2.474171432737e-10       4.206155442916e-14      -6.990475134666e-13       0.000000000000e+00 
   69       2.507063675647e-10       4.381959059215e-14      -7.581532474566e-13       0.000000000000e+00 
   70       2.540272416788e-10       4.560891395640e-14      -8.189519494165e-13       0.000000000000e+00 
   71       2.573785753212e-10       4.742885566056e-14      -8.814456825199e-13       0.000000000000e+00 
   72       2.607591598794e-10       4.927863014517e-14      -9.456304348807e-13       0.000000000000e+00 
   73       2.641699777709e-10       5.115704434938e-14      -1.011473687542e-12       0.000000000000e+00 
   74       2.676123503988e-10       5.306273333624e-14      -1.078932705432e-12       0.000000000000e+00 
   75       2.710872565144e-10       5.499424421235e-14      -1.147961092832e-12       0.000000000000e+00 
   76       2.745953100950e-10       5.695003456280e-14      -1.218508735972e-12       0.000000000000e+00 
   77       2.781367382215e-10       5.892847088596e-14      -1.290521745639e-12       0.000000000000e+00 
   78       2.817113589561e-10       6.092782702839e-14      -1.363942399779e-12       0.000000000000e+00 
   79       2.853185592205e-10       6.294628261968e-14      -1.438709086099e-12       0.000000000000e+00 
   80       2.889576881570e-10       6.498200299044e-14      -1.514760543833e-12       0.000000000000e+00 
   81       2.926293645554e-10       6.703339835298e-14      -1.592049563654e-12       0.000000000000e+00 
   82       2.963343571604e-10       6.909890698510e-14      -1.670531573331e-12       0.000000000000e+00 
   83       3.000731751491e-10       7.117691768942e-14      -1.750160571762e-12       0.000000000000e+00 
   84       3.038460537029e-10       7.326576973728e-14      -1.830889151196e-12       0.000000000000e+00 
   85       3.076529395792e-10       7.536375281246e-14      -1.912668519442e-12       0.000000000000e+00 
   86       3.114934766836e-10       7.746910695507e-14      -1.995448522096e-12       0.000000000000e+00 
   87       3.153669916413e-10       7.958002250529e-14      -2.079177664749e-12       0.000000000000e+00 
   88       3.192724793699e-10       8.169464004721e-14      -2.163803135212e-12       0.000000000000e+00 
   89       3.232089513724e-10       8.381107037613e-14      -2.249270076129e-12       0.000000000000e+00 
   90       3.271765746852e-10       8.592745811241e-14      -2.335519223648e-12       0.000000000000e+00 
   91       3.311756858434e-10       8.804192800946e-14      -2.422488937549e-12       0.000000000000e+00 
   92       3.352064351943e-10       9.015256605897e-14      -2.510115928694e-12       0.000000000000e+00 
   93       3.392687779038e-10       9.225741973468e-14      -2.598335270023e-12       0.000000000000e+00 
   94       3.433624649623e-10       9.435449823621e-14      -2.687080407533e-12       0.000000000000e+00 
   95       3.474870341904e-10       9.644177273278e-14      -2.776283171273e-12       0.000000000000e+00 
   96       3.516418012452e-10       9.851717660706e-14      -2.865873786324e-12       0.000000000000e+00 
   97       3.558258506260e-10       1.005786056989e-13      -2.955780883793e-12       0.000000000000e+00 
   98       3.600380266799e-10       1.026239185492e-13      -3.045931511794e-12       0.000000000000e+00 
   99       3.642772138383e-10       1.046509869459e-13      -3.136252235333e-12       0.000000000000e+00 
  100       3.685432420550e-10       1.066578552048e-13      -3.226672589948e-12       0.000000000000e+00 
  101       3.728360935036e-10       1.086426040075e-13      -3.317122139932e-12       0.000000000000e+00 
  102       3.771556193703e-10       1.106033029541e-13      -3.407529456964e-12       0.000000000000e+00 
  103       3.815015343656e-10       1.125380114172e-13      -3.497822144292e-12       0.000000000000e+00 
  104       3.858734112362e-10       1.144447793952e-13      -3.587926860925e-12       0.000000000000e+00 
  105       3.902706752766e-10       1.163216483657e-13      -3.677769345810e-12       0.000000000000e+00 
  106       3.946925988409e-10       1.181666521393e-13      -3.767274442027e-12       0.000000000000e+00 
  107       3.991382958545e-10       1.199778177129e-13      -3.856366120968e-12       0.000000000000e+00 
  108       4.036067163259e-10       1.217531661230e-13      -3.944967506528e-12       0.000000000000e+00 
  109       4.080966408586e-10       1.234907132997e-13      -4.033000899289e-12       0.000000000000e+00 
  110       4.126068774097e-10       1.251885211605e-13      -4.120388492229e-12       0.000000000000e+00 
  111       4.171368919626e-10       1.268448564930e-13      -4.207054570064e-12       0.000000000000e+00 
  112       4.216862486713e-10       1.284580540975e-13      -4.292923637949e-12       0.000000000000e+00 
  113       4.262544113679e-10       1.300264696962e-13      -4.377919785737e-12       0.000000000000e+00 
  114       4.308407400619e-10       1.315484812804e-13      -4.461966718968e-12       0.000000000000e+00 
  115       4.354444874398e-10       1.330224904577e-13      -4.544987789847e-12       0.000000000000e+00 
  116       4.400647953643e-10       1.344469237994e-13      -4.626906028227e-12       0.000000000000e+00 
  117       4.447006913742e-10       1.358202341877e-13      -4.707644172592e-12       0.000000000000e+00 
  118       4.493510851830e-10       1.371409021629e-13      -4.787124701041e-12       0.000000000000e+00 
  119       4.540147651793e-10       1.384074372708e-13      -4.865269862265e-12       0.000000000000e+00 
  120       4.586903949256e-10       1.396183794099e-13      -4.942001706536e-12       0.000000000000e+00 
  121       4.633765096580e-10       1.407723001790e-13      -5.017242116684e-12       0.000000000000e+00 
  122       4.680715127855e-10       1.418678042237e-13      -5.090912839081e-12       0.000000000000e+00 
  123       4.727738627530e-10       1.429035786955e-13      -5.162936440912e-12       0.000000000000e+00 
  124       4.774826653942e-10       1.438785451903e-13      -5.233239240510e-12       0.000000000000e+00 
  125       4.821971433491e-10       1.447917278849e-13      -5.301748773621e-12       0.000000000000e+00 
  126       4.869164498133e-10       1.456422086974e-13      -5.368392935139e-12       0.000000000000e+00 
  127       4.916396665357e-10       1.464291290132e-13      -5.433100017384e-12       0.000000000000e+00 
  128       4.963658018150e-10       1.471516914106e-13      -5.495798748369e-12       0.000000000000e+00 
  129       5.010937884975e-10       1.478091613866e-13      -5.556418330067e-12       0.000000000000e+00 
  130       5.058224819737e-10       1.484008690831e-13      -5.614888476688e-12       0.000000000000e+00 
  131       5.105506581762e-10       1.489262110121e-13      -5.671139452942e-12       0.000000000000e+00 
  132       5.152770115761e-10       1.493846517818e-13      -5.725102112314e-12       0.000000000000e+00 
  133       5.200001531809e-10       1.497757258226e-13      -5.776707935332e-12       0.000000000000e+00 
  134       5.247186085311e-10       1.500990391126e-13      -5.825889067839e-12       0.000000000000e+00 
  135       5.294308156978e-10       1.503542709034e-13      -5.872578359260e-12       0.000000000000e+00 
  136       5.341351232796e-10       1.505411754463e-13      -5.916709400875e-12       0.000000000000e+00 
  137       5.388299284134e-10       1.506596091352e-13      -5.958217191241e-12       0.000000000000e+00 
  138       5.435141111630e-10       1.507096114550e-13      -5.997040129167e-12       0.000000000000e+00 
  139       5.481866414925e-10       1.506913357210e-13      -6.033118300491e-12       0.000000000000e+00 
  140       5.528464421824e-10       1.506050262824e-13      -6.066392911290e-12       0.000000000000e+00 
  141       5.574923877150e-10       1.504510204096e-13      -6.096806330135e-12       0.000000000000e+00 
  142       5.621233031611e-10       1.502297501814e-13      -6.124302130336e-12       0.000000000000e+00 
  143       5.667379630651e-10       1.499417443718e-13      -6.148825132196e-12       0.000000000000e+00 
  144       5.713350903313e-10       1.495876303374e-13      -6.170321445263e-12       0.000000000000e+00 
  145       5.759133551097e-10       1.491681359046e-13      -6.188738510577e-12       0.000000000000e+00 
  146       5.804713736818e-10       1.486840912565e-13      -6.204025142925e-12       0.000000000000e+00 
  147       5.850077073465e-10       1.481364308202e-13      -6.216131573089e-12       0.000000000000e+00 
  148       5.895208613060e-10       1.475261951537e-13      -6.225009490097e-12       0.000000000000e+00 
  149       5.940092835518e-10       1.468545328335e-13      -6.230612083475e-12       0.000000000000e+00 
  150       5.984713637503e-10       1.461227023412e-13      -6.232894085498e-12       0.000000000000e+00 
  151       6.029054321289e-10       1.453320739510e-13      -6.231811813439e-12       0.000000000000e+00 
  152       6.073097583617e-10       1.444841316169e-13      -6.227323211822e-12       0.000000000000e+00 
  153       6.116826771434e-10       1.435804514397e-13      -6.219388068367e-12       0.000000000000e+00 
  154       6.160229803861e-10       1.426226308466e-13      -6.207968595489e-12       0.000000000000e+00 
  155       6.203295595175e-10       1.416123563973e-13      -6.193028983652e-12       0.000000000000e+00 
  156       6.246012816040e-10       1.405514283654e-13      -6.174535275304e-12       0.000000000000e+00 
  157       6.288369888820e-10       1.394417625064e-13      -6.152455408011e-12       0.000000000000e+00 
  158       6.330354982887e-10       1.382853918250e-13      -6.126759257598e-12       0.000000000000e+00 
  159       6.371956009932e-10       1.370844683437e-13      -6.097418681278e-12       0.000000000000e+00 
  160       6.413160619282e-10       1.358412648699e-13      -6.064407560789e-12       0.000000000000e+00 
  161       6.453956193200e-10       1.345581767645e-13      -6.027701845534e-12       0.000000000000e+00 
  162       6.494329842207e-10       1.332377237091e-13      -5.987279595709e-12       0.000000000000e+00 
  163       6.534268400384e-10       1.318825514746e-13      -5.943121025446e-12       0.000000000000e+00 
  164       6.573758420690e-10       1.304954336881e-13      -5.895208545943e-12       0.000000000000e+00 
  165       6.612786170269e-10       1.290792736018e-13      -5.843526808601e-12       0.000000000000e+00 
  166       6.651337625758e-10       1.276371058598e-13      -5.788062748162e-12       0.000000000000e+00 
  167       6.689398468607e-10       1.261720982671e-13      -5.728805625838e-12       0.000000000000e+00 
  168       6.726954080381e-10       1.246875535565e-13      -5.665747072456e-12       0.000000000000e+00 
  169       6.763989538074e-10       1.231869111569e-13      -5.598881131583e-12       0.000000000000e+00 
  170       6.800489609423e-10       1.216737489612e-13      -5.528204302670e-12       0.000000000000e+00 
  171       6.836439733310e-10       1.201516725872e-13      -5.453714686039e-12       0.000000000000e+00 
  172       6.871829062545e-10       1.186239690987e-13      -5.375409247548e-12       0.000000000000e+00 
  173       6.906647666993e-10       1.170939276644e-13      -5.293286407451e-12       0.000000000000e+00 
  174       6.940885570647e-10       1.155649507650e-13      -5.207346957180e-12       0.000000000000e+00 
  175       6.974532750959e-10       1.140405555019e-13      -5.117594098821e-12       0.000000000000e+00 
  176       7.007579138172e-10       1.125243749061e-13      -5.024033484585e-12       0.000000000000e+00 
  177       7.040014614647e-10       1.110201592469e-13      -4.926673256274e-12       0.000000000000e+00 
  178       7.071829014194e-10       1.095317773408e-13      -4.825524084759e-12       0.000000000000e+00 
  179       7.103012121406e-10       1.080632178605e-13      -4.720599209447e-12       0.000000000000e+00 
  180       7.133553670980e-10       1.066185906434e-13      -4.611914477752e-12       0.000000000000e+00 
  181       7.163443347059e-10       1.052021280009e-13      -4.499488384566e-12       0.000000000000e+00 
  182       7.192670782550e-10       1.038181860267e-13      -4.383342111734e-12       0.000000000000e+00 
  183       7.221225558464e-10       1.024712459061e-13      -4.263499567518e-12       0.000000000000e+00 
  184       7.249097203239e-10       1.011659152246e-13      -4.139987426074e-12       0.000000000000e+00 
  185       7.276275192076e-10       9.990692927675e-14      -4.012835166922e-12       0.000000000000e+00 
  186       7.302748946262e-10       9.869915237499e-14      -3.882075114414e-12       0.000000000000e+00 
  187       7.328507832508e-10       9.754757915860e-14      -3.747742477208e-12       0.000000000000e+00 
  188       7.353541162273e-10       9.645733590244e-14      -3.609875387738e-12       0.000000000000e+00 
  189       7.377838191097e-10       9.543368182577e-14      -3.468514941684e-12       0.000000000000e+00 
  190       7.401388117929e-10       9.448201040114e-14      -3.323705237447e-12       0.000000000000e+00 
  191       7.424180826329e-10       9.360762010799e-14      -3.175490937880e-12       0.000000000000e+00 
  192       7.446209171557e-10       9.281500476226e-14      -3.023909669000e-12       0.000000000000e+00 
  193       7.467466864137e-10       9.210851235274e-14      -2.868999125783e-12       0.000000000000e+00 
  194       7.487947745158e-10       9.149257136007e-14      -2.710799529782e-12       0.000000000000e+00 
  195       7.507645788038e-10       9.097169131111e-14      -2.549353660488e-12       0.000000000000e+00 
  196       7.526555100278e-10       9.055046333337e-14      -2.384706886691e-12       0.000000000000e+00 
  197       7.544669925216e-10       9.023356070937e-14      -2.216907197848e-12       0.000000000000e+00 
  198       7.561984643794e-10       9.002573943110e-14      -2.046005235442e-12       0.000000000000e+00 
  199       7.578493776304e-10       8.993183875438e-14      -1.872054324348e-12       0.000000000000e+00 
  200       7.594191984156e-10       8.995678175327e-14      -1.695110504195e-12       0.000000000000e+00 
  201       7.609074071629e-10       9.010557587451e-14      -1.515232560730e-12       0.000000000000e+00 
  202       7.623134987633e-10       9.038331349184e-14      -1.332482057180e-12       0.000000000000e+00 
  203       7.636369827463e-10       9.079517246050e-14      -1.146923365618e-12       0.000000000000e+00 
  204       7.648773834558e-10       9.134641667156e-14      -9.586236983219e-13       0.000000000000e+00 
  205       7.660342402260e-10       9.204239660636e-14      -7.676531391424e-13       0.000000000000e+00 
  206       7.671071075569e-10       9.288854989090e-14      -5.740846748632e-13       0.000000000000e+00 
  207       7.680955552905e-10       9.389040185023e-14      -3.779942265655e-13       0.000000000000e+00 
  208       7.689991687861e-10       9.505356606289e-14      -1.794606809911e-13       0.000000000000e+00 
  209       7.698175490961e-10       9.638374491527e-14       2.143407809465e-14       0.000000000000e+00 
  210       7.705503131422e-10       9.788673015604e-14       2.246051385391e-13       0.000000000000e+00 
  211       7.711970938907e-10       9.956840345055e-14       4.299645284394e-13       0.000000000000e+00 
