# Matter power spectrum P(k) at redshift z=0
# for k=1.0061e-05 to 1.43346 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.006097687521e-05       5.591684581991e+01 
       2.215844841543e-05       1.197804916524e+02 
       3.429403591473e-05       1.825460881895e+02 
       4.649653350583e-05       2.448407567279e+02 
       5.879516036413e-05       3.070160043776e+02 
       7.121979062019e-05       3.693304838155e+02 
       8.380118984431e-05       4.320015562795e+02 
       9.657126090156e-05       4.952261570619e+02 
       1.095633019987e-04       5.591914774067e+02 
       1.228122797708e-04       6.240809662802e+02 
       1.363551202730e-04       6.900784510355e+02 
       1.502310207310e-04       7.573712522516e+02 
       1.644817848410e-04       8.261524391798e+02 
       1.791521842568e-04       8.966228620732e+02 
       1.942903486224e-04       9.689930522885e+02 
       2.099481860310e-04       1.043485032601e+03 
       2.261818350521e-04       1.120333563402e+03 
       2.430521483560e-04       1.199788034947e+03 
       2.606252063629e-04       1.282113605101e+03 
       2.789728570915e-04       1.367592666440e+03 
       2.981732753016e-04       1.456525767076e+03 
       3.183115299053e-04       1.549232534333e+03 
       3.394801432358e-04       1.646052146246e+03 
       3.617796189111e-04       1.747343237250e+03 
       3.853189065382e-04       1.853483307383e+03 
       4.102157613569e-04       1.964867276254e+03 
       4.365969453047e-04       2.081904854442e+03 
       4.645982034695e-04       2.205017014725e+03 
       4.943639376064e-04       2.334630750448e+03 
       5.260464881752e-04       2.471172495678e+03 
       5.598049309470e-04       2.615059805873e+03 
       5.958032972719e-04       2.766691602216e+03 
       6.342081428732e-04       2.926437044054e+03 
       6.751854228373e-04       3.094623408045e+03 
       7.188966833709e-04       3.271524337828e+03 
       7.654946541270e-04       3.457347980776e+03 
       8.151184139122e-04       3.652227214627e+03 
       8.678883967330e-04       3.856212161809e+03 
       9.239015876952e-04       4.069264934665e+03 
       9.832273088987e-04       4.291257987192e+03 
       1.045903995140e-03       4.521975051176e+03 
       1.111937296792e-03       4.761112933478e+03 
       1.181299725065e-03       5.008285220273e+03 
       1.253931890907e-03       5.263027738936e+03 
       1.329745213221e-03       5.524764482285e+03 
       1.408625818736e-03       5.792929996219e+03 
       1.490439252661e-03       6.066872915995e+03 
