# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       1.000000000000e+00       0.000000000000e+00       1.398203164045e+04       1.163658216031e+00       4.526309751976e-07       1.000000000000e+00       4.526309751976e-07       3.568280892320e-01       6.993892662728e-01       5.550805484580e-14       9.177363942500e-14       0.000000000000e+00 
       9.852202187408e-01       1.500150015002e-02       1.391976245050e+04       1.163658211817e+00       4.663131231348e-07       9.999713909709e-01       4.662997823691e-07       3.673912679000e-01       7.089068939334e-01       5.715125917943e-14       9.446180502450e-14       4.248738707710e-08 
       9.708709583455e-01       3.000300030003e-02       1.385788370585e+04       1.163658207344e+00       4.801989955458e-07       9.999421092476e-01       4.801711964647e-07       3.780968835964e-01       7.183782353224e-01       5.881662095515e-14       9.718446302509e-14       8.662260568946e-08 
       9.569336778639e-01       4.500450045005e-02       1.379639945655e+04       1.163658202594e+00       4.942885924120e-07       9.999121551218e-01       4.942451716909e-07       3.889442377291e-01       7.278027908373e-01       6.050403149906e-14       9.994136966533e-14       1.324349926759e-07 
       9.433908859326e-01       6.000600060006e-02       1.373531350077e+04       1.163658197551e+00       5.085819137135e-07       9.998815291432e-01       5.085216615784e-07       3.999325423689e-01       7.371799271476e-01       6.221336823992e-14       1.027322583815e-13       1.799535902228e-07 
       9.302260675412e-01       7.500750075008e-02       1.367462938437e+04       1.163658192196e+00       5.230789594285e-07       9.998502321448e-01       5.230006190147e-07       4.110611297859e-01       7.465092783226e-01       6.394452730459e-14       1.055568942430e-13       2.292069325515e-07 
       9.174236168456e-01       9.000900090009e-02       1.361435040119e+04       1.163658186509e+00       5.377797295338e-07       9.998182652243e-01       5.376819962553e-07       4.223295394684e-01       7.557908884864e-01       6.569743705455e-14       1.084150965915e-13       2.802230911113e-07 
       9.049687754548e-01       1.050105010501e-01       1.355447959396e+04       1.163658180472e+00       5.526842240041e-07       9.997856297358e-01       5.525657449409e-07       4.337369982042e-01       7.650242397753e-01       6.747197720766e-14       1.113066040613e-13       3.330296533505e-07 
       8.928475756764e-01       1.200120012001e-01       1.349501975568e+04       1.163658174061e+00       5.677924428120e-07       9.997523272790e-01       5.676518161128e-07       4.452827327813e-01       7.742088507262e-01       6.926802748164e-14       1.142311557894e-13       3.876537206935e-07 
       8.810467882633e-01       1.350135013501e-01       1.343597343166e+04       1.163658167254e+00       5.831043859282e-07       9.997183596892e-01       5.829401602277e-07       4.569659699878e-01       7.833442742083e-01       7.108546759410e-14       1.171884914349e-13       4.441219030954e-07 
       8.695538742499e-01       1.500150015002e-01       1.337734292193e+04       1.163658160026e+00       5.986200533208e-07       9.996837290266e-01       5.984307271739e-07       4.687859366117e-01       7.924300954648e-01       7.292417726249e-14       1.201783511960e-13       5.024603160754e-07 
       8.583569405099e-01       1.650165016502e-01       1.331913028423e+04       1.163658152352e+00       6.143394449555e-07       9.996484375660e-01       6.141234662849e-07       4.807418594410e-01       8.014659302576e-01       7.478403620413e-14       1.232004758237e-13       5.626945786077e-07 
       8.474446987033e-01       1.800180018002e-01       1.326133733742e+04       1.163658144203e+00       6.302625607951e-07       9.996124877861e-01       6.300183263549e-07       4.928329652637e-01       8.104514231053e-01       7.666492413614e-14       1.262546066329e-13       6.248498122487e-07 
       8.368064273161e-01       1.950195019502e-01       1.320396566529e+04       1.163658135550e+00       6.463894007997e-07       9.995758823595e-01       6.461152556521e-07       5.050579065992e-01       8.193852791072e-01       7.856663144249e-14       1.293403362873e-13       6.889506412677e-07 
       8.264319365237e-01       2.100210021002e-01       1.314701662078e+04       1.163658126362e+00       6.627199649259e-07       9.995386241418e-01       6.624142019333e-07       5.174165494295e-01       8.282682933137e-01       8.048913727274e-14       1.324575733179e-13       7.550211938369e-07 
       8.163115356356e-01       2.250225022502e-01       1.309049133047e+04       1.163658116607e+00       6.792542531271e-07       9.995007161619e-01       6.789151124566e-07       5.299082964195e-01       8.371004709426e-01       8.243234870280e-14       1.356061064844e-13       8.230851041809e-07 
       8.064360029035e-01       2.400240024002e-01       1.303439069954e+04       1.163658106248e+00       6.959922653531e-07       9.994621616118e-01       6.956179339949e-07       5.425323387711e-01       8.458814830737e-01       8.439613991326e-14       1.387856701825e-13       8.931655156008e-07 
       7.967965574946e-01       2.550255025503e-01       1.297871541683e+04       1.163658095249e+00       7.129340015494e-07       9.994229638363e-01       7.125226128482e-07       5.552878676861e-01       8.546110253995e-01       8.638038508446e-14       1.419959993859e-13       9.652850843422e-07 
       7.873848334515e-01       2.700270027003e-01       1.292346596033e+04       1.163658083571e+00       7.300794616576e-07       9.993831263236e-01       7.296290948560e-07       5.681740743663e-01       8.632888167216e-01       8.838495839648e-14       1.452368296426e-13       1.039465984238e-06 
       7.781928554751e-01       2.850285028503e-01       1.286864260276e+04       1.163658071170e+00       7.474286456143e-07       9.993426526955e-01       7.469373254088e-07       5.811901500137e-01       8.719145975268e-01       9.040973402915e-14       1.485078970705e-13       1.115729912065e-06 
       7.692130163859e-01       3.000300030003e-01       1.281424541739e+04       1.163658058002e+00       7.649815533515e-07       9.993015466980e-01       7.644472494596e-07       5.943352858299e-01       8.804881286366e-01       9.245458616198e-14       1.518089383501e-13       1.194098093576e-06 
       7.604380561259e-01       3.150315031503e-01       1.276027428410e+04       1.163658044021e+00       7.827381847957e-07       9.992598121925e-01       7.821588115349e-07       6.076086730170e-01       8.890091899281e-01       9.451938897417e-14       1.551396907166e-13       1.274591290093e-06 
       7.518610421836e-01       3.300330033003e-01       1.270672889547e+04       1.163658029175e+00       8.006985398676e-07       9.992174531465e-01       8.000719557446e-07       6.210095027767e-01       8.974775791218e-01       9.660401664459e-14       1.584998919505e-13       1.357229805641e-06 
       7.434753513272e-01       3.450345034503e-01       1.265360876302e+04       1.163658013411e+00       8.188626184818e-07       9.991744736249e-01       8.181866257926e-07       6.345369663109e-01       9.058931106334e-01       9.870834335174e-14       1.618892803665e-13       1.442033494623e-06 
       7.352746525480e-01       3.600360036004e-01       1.260091322357e+04       1.163657996673e+00       8.372304205461e-07       9.991308777819e-01       8.365027649860e-07       6.481902548214e-01       9.142556144871e-01       1.008322432737e-13       1.653075948021e-13       1.529021769884e-06 
       7.272528911194e-01       3.750375037504e-01       1.254864144560e+04       1.163657978900e+00       8.558019459615e-07       9.990866698529e-01       8.550203162442e-07       6.619685595100e-01       9.225649352864e-01       1.029755905882e-13       1.687545746046e-13       1.618213611176e-06 
       7.194042736888e-01       3.900390039004e-01       1.249679243571e+04       1.163657960028e+00       8.745771946207e-07       9.990418541462e-01       8.737392221079e-07       6.758710715787e-01       9.308209312413e-01       1.051382594725e-13       1.722299596181e-13       1.709627573954e-06 
       7.117232543242e-01       4.050405040504e-01       1.244536504506e+04       1.163657939989e+00       8.935561664087e-07       9.989964350359e-01       8.926594247467e-07       6.898969822292e-01       9.390234732479e-01       1.073201241032e-13       1.757334901686e-13       1.803281798409e-06 
       7.042045214452e-01       4.200420042004e-01       1.239435797585e+04       1.163657918712e+00       9.127388612012e-07       9.989504169545e-01       9.117808659675e-07       7.040453296990e-01       9.471722264374e-01       1.095210348616e-13       1.792648672335e-13       1.899194018836e-06 
       6.968429855739e-01       4.350435043504e-01       1.234376978768e+04       1.163657896119e+00       9.321252788644e-07       9.989038043855e-01       9.311034872215e-07       7.183151225440e-01       9.552668339499e-01       1.117408375109e-13       1.828237844937e-13       1.997381573137e-06 
       6.896337678461e-01       4.500450045005e-01       1.229359890404e+04       1.163657872129e+00       9.517154192541e-07       9.988566018574e-01       9.506272296115e-07       7.327059892301e-01       9.633078232838e-01       1.139794742468e-13       1.864100974461e-13       2.097861412493e-06 
       6.825721892279e-01       4.650465046505e-01       1.224384361855e+04       1.163657846656e+00       9.715092822151e-07       9.988088139368e-01       9.703520338979e-07       7.472171138084e-01       9.712950933496e-01       1.162368181314e-13       1.900235463426e-13       2.200650111158e-06 
       6.756537603892e-01       4.800480048005e-01       1.219450210131e+04       1.163657819608e+00       9.915068675801e-07       9.987604452223e-01       9.902778405053e-07       7.618476803296e-01       9.792285524393e-01       1.185127422260e-13       1.936638718397e-13       2.305763876366e-06 
       6.688741721854e-01       4.950495049505e-01       1.214557240502e+04       1.163657790887e+00       1.011708175169e-06       9.987115003387e-01       1.010404589528e-06       7.765968728449e-01       9.871081175471e-01       1.208071195911e-13       1.973308149818e-13       2.413218558265e-06 
       6.622292867077e-01       5.100510051005e-01       1.209705247115e+04       1.163657760391e+00       1.032113204788e-06       9.986619839316e-01       1.030732220736e-06       7.914638754049e-01       9.949337137320e-01       1.231198232866e-13       2.010241171852e-13       2.523029659810e-06 
       6.557151288609e-01       5.250525052505e-01       1.204894013584e+04       1.163657728009e+00       1.052721956229e-06       9.986119006620e-01       1.051260673578e-06       8.064478720608e-01       1.002705273516e+00       1.254507263712e-13       2.047435202218e-13       2.635212346834e-06 
       6.493278784337e-01       5.400540054005e-01       1.200123313585e+04       1.163657693626e+00       1.073534429266e-06       9.985612552009e-01       1.071989887189e-06       8.215480468634e-01       1.010422736322e+00       1.277997019030e-13       2.084887662033e-13       2.749781457917e-06 
       6.430638626278e-01       5.550555055506e-01       1.195392911425e+04       1.163657657116e+00       1.094550623658e-06       9.985100522254e-01       1.092919800392e-06       8.367635838636e-01       1.018086047941e+00       1.301666229390e-13       2.122595975648e-13       2.866751514212e-06 
       6.369195490159e-01       5.700570057006e-01       1.190702562613e+04       1.163657618349e+00       1.115770539144e-06       9.984582964135e-01       1.114050351702e-06       8.520936671123e-01       1.025695160035e+00       1.325513625351e-13       2.160557570489e-13       2.986136729251e-06 
       6.308915388984e-01       5.850585058506e-01       1.186052014397e+04       1.163657577185e+00       1.137194175444e-06       9.984059924400e-01       1.135381479331e-06       8.675374806605e-01       1.033250029675e+00       1.349537937460e-13       2.198769876905e-13       3.107951018740e-06 
       6.249765610351e-01       6.000600060006e-01       1.181441006303e+04       1.163657533475e+00       1.158821532256e-06       9.983531449726e-01       1.156913121190e-06       8.830942085590e-01       1.040750618897e+00       1.373737896253e-13       2.237230328011e-13       3.232208010019e-06 
       6.191714657254e-01       6.150615061506e-01       1.176869270664e+04       1.163657487064e+00       1.180652609256e-06       9.982997586686e-01       1.178645214892e-06       8.987630348588e-01       1.048196894297e+00       1.398112232253e-13       2.275936359537e-13       3.358921051444e-06 
       6.134732192159e-01       6.300630063006e-01       1.172336533104e+04       1.163657437782e+00       1.202687406095e-06       9.982458381703e-01       1.200577697754e-06       9.145431436109e-01       1.055588826646e+00       1.422659675967e-13       2.314885409682e-13       3.488103221945e-06 
       6.078788984133e-01       6.450645064506e-01       1.167842513046e+04       1.163657385453e+00       1.224925922396e-06       9.981913881029e-01       1.222710506800e-06       9.304337188661e-01       1.062926390531e+00       1.447378957888e-13       2.354074918965e-13       3.619767339951e-06 
       6.023856858847e-01       6.600660066007e-01       1.163386924179e+04       1.163657329889e+00       1.247368157757e-06       9.981364130708e-01       1.245043578762e-06       9.464339006654e-01       1.070209510141e+00       1.472268740032e-13       2.393502215245e-13       3.753925972282e-06 
       5.969908651263e-01       6.750675067507e-01       1.158969474911e+04       1.163657270889e+00       1.270014111741e-06       9.980809176547e-01       1.267576850081e-06       9.625429148793e-01       1.077438218855e+00       1.497327817913e-13       2.433164852349e-13       3.890591443300e-06 
       5.916918160838e-01       6.900690069007e-01       1.154589868816e+04       1.163657208241e+00       1.292863783882e-06       9.980249064093e-01       1.290310256908e-06       9.787599581378e-01       1.084612515973e+00       1.522554941538e-13       2.473060309765e-13       4.029775843177e-06 
       5.864860109097e-01       7.050705070507e-01       1.150247805065e+04       1.163657141720e+00       1.315917173676e-06       9.979683838606e-01       1.313243735108e-06       9.950842137339e-01       1.091732386972e+00       1.547948840149e-13       2.513186033954e-13       4.171491036318e-06 
       5.813710099424e-01       7.200720072007e-01       1.145942978822e+04       1.163657071085e+00       1.339174280583e-06       9.979113545038e-01       1.336377220253e-06       1.011514864961e+00       1.098797819723e+00       1.573508242965e-13       2.553539473029e-13       4.315748669933e-06 
       5.763444578938e-01       7.350735073507e-01       1.141675081656e+04       1.163656996083e+00       1.362635104021e-06       9.978538228010e-01       1.359710647630e-06       1.028051095110e+00       1.105808804250e+00       1.599231879185e-13       2.594118076627e-13       4.462560181525e-06 
       5.714040802332e-01       7.500750075008e-01       1.137443801912e+04       1.163656916443e+00       1.386299643365e-06       9.977957931795e-01       1.383243952236e-06       1.044692087477e+00       1.112765332511e+00       1.625118477979e-13       2.634919295790e-13       4.611936807057e-06 
       5.665476797552e-01       7.650765076508e-01       1.133248825066e+04       1.163656831879e+00       1.410167897942e-06       9.977372700299e-01       1.406977068777e-06       1.061437025352e+00       1.119667398190e+00       1.651166768494e-13       2.675940582846e-13       4.763889588584e-06 
       5.617731333221e-01       7.800780078008e-01       1.129089834100e+04       1.163656742086e+00       1.434239867031e-06       9.976782577046e-01       1.430909931670e-06       1.078285092030e+00       1.126514996506e+00       1.677375479846e-13       2.717179391300e-13       4.918429381086e-06 
       5.570783887682e-01       7.950795079508e-01       1.124966509803e+04       1.163656646740e+00       1.458515549853e-06       9.976187605163e-01       1.455042475038e-06       1.095235470803e+00       1.133308124034e+00       1.703743341121e-13       2.758633175722e-13       5.075566860462e-06 
       5.524614619592e-01       8.100810081008e-01       1.120878531114e+04       1.163656545500e+00       1.482994945574e-06       9.975587827367e-01       1.479374632711e-06       1.112287344964e+00       1.140046778540e+00       1.730269081374e-13       2.800299391641e-13       5.235312529814e-06 
       5.479204339964e-01       8.250825082508e-01       1.116825575422e+04       1.163656437999e+00       1.507678053296e-06       9.974983285952e-01       1.503906338223e-06       1.129439897806e+00       1.146730958825e+00       1.756951429623e-13       2.842175495443e-13       5.397676726335e-06 
