World,chain,model,k,H0,S8,chi2,rs,delta_chi2,delta_H0,delta_S8,tension_score
SHOES,tier9_v3_shoes_wide_ocdm,EDE (wide),9,70.8,0.79,2812.2,146.88,6.599999999999909,2.3999999999999915,-0.04299999999999993,7.0
SHOES,tier9_v3_shoes_fresh,EDE (fresh),9,71.0,0.787,2815.0,147.01,9.400000000000091,2.5999999999999943,-0.04599999999999993,9.4
SHOES,tier9_v3_shoes_minimal,EDE (k=8),8,71.1,0.791,2815.6,147.05,10.0,2.6999999999999886,-0.041999999999999926,10.1
SHOES,tier9_v3_shoes_optimal,EDE (optimal),9,71.1,0.783,2820.5,147.21,14.900000000000091,2.6999999999999886,-0.04999999999999993,15.0
SHOES,tier9_phenom_shoes,w₀wₐCDM,8,69.3,0.826,2795.9,147.11,-9.699999999999818,0.8999999999999915,-0.007000000000000006,19.3
SHOES,tier9_v3_shoes_verywide_ocdm,EDE (verywide),9,71.4,0.778,2825.0,147.49,19.40000000000009,3.0,-0.05499999999999994,21.0
SHOES,tier9_lcdm_shoes,ΛCDM,6,68.4,0.833,2805.6,147.18,0.0,0.0,0.0,67.7
BASE,tier9_v3_baseline_minimal,EDE (k=8),8,70.1,0.809,2804.8,146.26,13.800000000000182,2.5,-0.03499999999999992,21.9
BASE,tier9_v3_baseline,EDE,9,70.2,0.809,2809.4,147.0,18.40000000000009,2.6000000000000085,-0.03499999999999992,24.8
BASE,tier9_lcdm_baseline,ΛCDM,6,67.6,0.844,2791.0,146.89,0.0,0.0,0.0,115.7
BASE,tier9_phenom_baseline,w₀wₐCDM,8,67.4,0.83,2786.9,147.39,-4.099999999999909,-0.19999999999998863,-0.014000000000000012,125.6
TRGB,tier9_v3_trgb,EDE,9,69.9,0.814,2810.1,146.58,27.40000000000009,1.9000000000000057,-0.018000000000000016,39.6
TRGB,tier9_lcdm_trgb,ΛCDM,6,68.0,0.832,2782.7,147.18,0.0,0.0,0.0,90.1
